Batch	m_SP	7	W3	R	W4_L	P1	P2_L	P3	P4											
3.739312e-06	0.04917825	0.1	3.739312e-06	0.0003651217	0.1	3.739312e-06	0.0005876371	0.1	3.739312e-06	0.2252128	0.1	3.739312e-06	0.0026490595	0.1	3.739312e-06	0.0004695495	0.1	3.739312e-06	0.2464184	0.1
3.933692e-06	0.04323704	0.1	3.933692e-06	0.000367403	0.1	3.933692e-06	0.0005913087	0.1	3.933692e-06	0.2266205	0.1	3.933692e-06	0.0026656108	0.1	3.933692e-06	0.0004724832	0.1	3.933692e-06	0.247958	0.1
4.128072e-06	0.03803958	0.1	4.128072e-06	0.0003693987	0.1	4.128072e-06	0.0005945206	0.1	4.128072e-06	0.2278519	0.1	4.128072e-06	0.0026800904	0.1	4.128072e-06	0.0004750496	0.1	4.128072e-06	0.2493049	0.1
4.322452e-06	0.03348694	0.1	4.322452e-06	0.0003711467	0.1	4.322452e-06	0.0005973341	0.1	4.322452e-06	0.2289306	0.1	4.322452e-06	0.0026927725	0.1	4.322452e-06	0.0004772977	0.1	4.322452e-06	0.2504846	0.1
4.516832e-06	0.02949463	0.1	4.516832e-06	0.0003726797	0.1	4.516832e-06	0.0005998013	0.1	4.516832e-06	0.2298765	0.1	4.516832e-06	0.0027038945000000003	0.1	4.516832e-06	0.000479269	0.1	4.516832e-06	0.2515192	0.1
4.711212e-06	0.02599023	0.1	4.711212e-06	0.0003740253	0.1	4.711212e-06	0.0006019669	0.1	4.711212e-06	0.2307068	0.1	4.711212e-06	0.0027136574	0.1	4.711212e-06	0.0004809995	0.1	4.711212e-06	0.2524273	0.1
4.905593e-06	0.02291147	0.1	4.905593e-06	0.0003752074	0.1	4.905593e-06	0.0006038695	0.1	4.905593e-06	0.2314362	0.1	4.905593e-06	0.0027222339	0.1	4.905593e-06	0.0004825197	0.1	4.905593e-06	0.2532252	0.1
5.099973e-06	0.02020458	0.1	5.099973e-06	0.0003762468	0.1	5.099973e-06	0.0006055423	0.1	5.099973e-06	0.2320776	0.1	5.099973e-06	0.0027297755	0.1	5.099973e-06	0.0004838564	0.1	5.099973e-06	0.2539266	0.1
5.294353e-06	0.01782307	0.1	5.294353e-06	0.0003771612	0.1	5.294353e-06	0.0006070141	0.1	5.294353e-06	0.2326418	0.1	5.294353e-06	0.0027364100000000003	0.1	5.294353e-06	0.0004850324	0.1	5.294353e-06	0.2545438	0.1
5.488733e-06	0.01572659	0.1	5.488733e-06	0.0003779662	0.1	5.488733e-06	0.0006083097	0.1	5.488733e-06	0.2331385	0.1	5.488733e-06	0.0027422503999999996	0.1	5.488733e-06	0.0004860676	0.1	5.488733e-06	0.2550871	0.1
5.683113e-06	0.01388007	0.1	5.683113e-06	0.0003786752	0.1	5.683113e-06	0.0006094508	0.1	5.683113e-06	0.233576	0.1	5.683113e-06	0.0027473940000000002	0.1	5.683113e-06	0.0004869794	0.1	5.683113e-06	0.2555656	0.1
5.877493e-06	0.01225297	0.1	5.877493e-06	0.0003793	0.1	5.877493e-06	0.0006104563	0.1	5.877493e-06	0.2339615	0.1	5.877493e-06	0.0027519266000000002	0.1	5.877493e-06	0.0004877828	0.1	5.877493e-06	0.2559872	0.1
6.071873e-06	0.01081864	0.1	6.071873e-06	0.0003798507	0.1	6.071873e-06	0.0006113427	0.1	6.071873e-06	0.2343014	0.1	6.071873e-06	0.0027559223	0.1	6.071873e-06	0.0004884911	0.1	6.071873e-06	0.2563589	0.1
