Batch	m_SP	8	W1_L	R	P1	P2	P3	P4	P5	P6													
0.004706319	0.9999999562199999	0.1	0.004706319	0.0	0.1	0.004706319	0.0	0.1	0.004706319	0.0	0.1	0.004706319	0.0	0.1	0.004706319	0.0	0.1	0.004706319	0.0	0.1	0.004706319	0.0	0.1
0.006330899	1.00000002195	0.1	0.006330899	0.0	0.1	0.006330899	0.0	0.1	0.006330899	0.0	0.1	0.006330899	0.0	0.1	0.006330899	0.0	0.1	0.006330899	0.0	0.1	0.006330899	0.0	0.1
0.008075147	0.99999998446	0.1	0.008075147	0.0	0.1	0.008075147	0.0	0.1	0.008075147	0.0	0.1	0.008075147	0.0	0.1	0.008075147	0.0	0.1	0.008075147	0.0	0.1	0.008075147	0.0	0.1
0.009819396	0.9999999817299999	0.1	0.009819396	0.0	0.1	0.009819396	0.0	0.1	0.009819396	0.0	0.1	0.009819396	0.0	0.1	0.009819396	0.0	0.1	0.009819396	0.0	0.1	0.009819396	0.0	0.1
0.01156364	1.00000003057	0.1	0.01156364	0.0	0.1	0.01156364	0.0	0.1	0.01156364	0.0	0.1	0.01156364	0.0	0.1	0.01156364	0.0	0.1	0.01156364	0.0	0.1	0.01156364	0.0	0.1
0.01330789	1.00000002971	0.1	0.01330789	0.0	0.1	0.01330789	0.0	0.1	0.01330789	0.0	0.1	0.01330789	0.0	0.1	0.01330789	0.0	0.1	0.01330789	0.0	0.1	0.01330789	0.0	0.1
0.01519629	0.99999995956	0.1	0.01519629	0.0	0.1	0.01519629	0.0	0.1	0.01519629	0.0	0.1	0.01519629	0.0	0.1	0.01519629	0.0	0.1	0.01519629	0.0	0.1	0.01519629	0.0	0.1
0.01730091	0.9999999475100001	0.1	0.01730091	0.0	0.1	0.01730091	0.0	0.1	0.01730091	0.0	0.1	0.01730091	0.0	0.1	0.01730091	0.0	0.1	0.01730091	0.0	0.1	0.01730091	0.0	0.1
0.01940553	0.9999999719700001	0.1	0.01940553	0.0	0.1	0.01940553	0.0	0.1	0.01940553	0.0	0.1	0.01940553	0.0	0.1	0.01940553	0.0	0.1	0.01940553	0.0	0.1	0.01940553	0.0	0.1
0.02151015	0.99999998778	0.1	0.02151015	0.0	0.1	0.02151015	0.0	0.1	0.02151015	0.0	0.1	0.02151015	0.0	0.1	0.02151015	0.0	0.1	0.02151015	0.0	0.1	0.02151015	0.0	0.1
