Batch	m_SP	11	W4_L	W2	W3	W6	R	P1	P2	P3	P4	P5	P6																			
5.511824e-05	0.8256014	0.1	5.511824e-05	3.179985e-08	0.1	5.511824e-05	0.0001154296	0.1	5.511824e-05	9.961945e-05	0.1	5.511824e-05	0.001563197	0.1	5.511824e-05	0.08333186	0.1	5.511824e-05	0.00188898	0.1	5.511824e-05	0.000228707	0.1	5.511824e-05	4.635338e-06	0.1	5.511824e-05	7.43693e-05	0.1	5.511824e-05	1.767879e-10	0.1
5.877049e-05	0.8158304	0.1	5.877049e-05	3.227099e-08	0.1	5.877049e-05	0.0001220715	0.1	5.877049e-05	9.846904e-05	0.1	5.877049e-05	0.001551028	0.1	5.877049e-05	0.0882452	0.1	5.877049e-05	0.001872834	0.1	5.877049e-05	0.0002267797	0.1	5.877049e-05	4.93445e-06	0.1	5.877049e-05	7.374824e-05	0.1	5.877049e-05	1.75414e-10	0.1
6.305625e-05	0.8045772	0.1	6.305625e-05	3.280982e-08	0.1	6.305625e-05	0.0001296858	0.1	6.305625e-05	9.713094e-05	0.1	6.305625e-05	0.001536442	0.1	6.305625e-05	0.09390449	0.1	6.305625e-05	0.001854176	0.1	6.305625e-05	0.0002245405	0.1	6.305625e-05	5.278814e-06	0.1	6.305625e-05	7.302427e-05	0.1	6.305625e-05	1.737668e-10	0.1
6.75004e-05	0.7931441	0.1	6.75004e-05	3.335299e-08	0.1	6.75004e-05	0.0001373818	0.1	6.75004e-05	9.576275e-05	0.1	6.75004e-05	0.001521225	0.1	6.75004e-05	0.09965483	0.1	6.75004e-05	0.001835165	0.1	6.75004e-05	0.0002222508	0.1	6.75004e-05	5.628425e-06	0.1	6.75004e-05	7.228233e-05	0.1	6.75004e-05	1.720477e-10	0.1
7.252476e-05	0.7804985	0.1	7.252476e-05	3.394856e-08	0.1	7.252476e-05	0.0001458449	0.1	7.252476e-05	9.424368e-05	0.1	7.252476e-05	0.001504108	0.1	7.252476e-05	0.1060153	0.1	7.252476e-05	0.001814086	0.1	7.252476e-05	0.0002197064	0.1	7.252476e-05	6.014651e-06	0.1	7.252476e-05	7.145669e-05	0.1	7.252476e-05	1.701133e-10	0.1
7.793593e-05	0.7672013	0.1	7.793593e-05	3.456871e-08	0.1	7.793593e-05	0.0001546865	0.1	7.793593e-05	9.264278e-05	0.1	7.793593e-05	0.001485909	0.1	7.793593e-05	0.1127039	0.1	7.793593e-05	0.00179187	0.1	7.793593e-05	0.0002170209	0.1	7.793593e-05	6.420093e-06	0.1	7.793593e-05	7.058457e-05	0.1	7.793593e-05	1.680561e-10	0.1
8.422882e-05	0.7521422	0.1	8.422882e-05	3.526317e-08	0.1	8.422882e-05	0.0001646254	0.1	8.422882e-05	9.082756e-05	0.1	8.422882e-05	0.001465147	0.1	8.422882e-05	0.1202789	0.1	8.422882e-05	0.001766649	0.1	8.422882e-05	0.0002139701	0.1	8.422882e-05	6.878176e-06	0.1	8.422882e-05	6.959331e-05	0.1	8.422882e-05	1.657088e-10	0.1
9.102076e-05	0.7363586	0.1	9.102076e-05	3.598172e-08	0.1	9.102076e-05	0.0001749545	0.1	9.102076e-05	8.892382e-05	0.1	9.102076e-05	0.001443273	0.1	9.102076e-05	0.1282187	0.1	9.102076e-05	0.00174015	0.1	9.102076e-05	0.0002107631	0.1	9.102076e-05	7.356789e-06	0.1	9.102076e-05	6.855104e-05	0.1	9.102076e-05	1.632357e-10	0.1
9.892715e-05	0.7185725	0.1	9.892715e-05	3.677947e-08	0.1	9.892715e-05	0.0001864808	0.1	9.892715e-05	8.677795e-05	0.1	9.892715e-05	0.001418524	0.1	9.892715e-05	0.137166	0.1	9.892715e-05	0.001710206	0.1	9.892715e-05	0.0002071386	0.1	9.892715e-05	7.893855e-06	0.1	9.892715e-05	6.737292e-05	0.1	9.892715e-05	1.604373e-10	0.1
0.000108393	0.698069	0.1	0.000108393	3.768255e-08	0.1	0.000108393	0.0001996117	0.1	0.000108393	8.430394e-05	0.1	0.000108393	0.001389884	0.1	0.000108393	0.1474806	0.1	0.000108393	0.001675576	0.1	0.000108393	0.0002029465	0.1	0.000108393	8.509349e-06	0.1	0.000108393	6.601021e-05	0.1	0.000108393	1.57199e-10	0.1
