Batch	m_SP	5	T4a_L	C5H5	T1a_L	N1a_L	N7a_L							
3.117557e-05	0.84182445	0.1	3.117557e-05	0.02944973	0.1	3.117557e-05	0.102989652	0.1	3.117557e-05	0.000110097743	0.1	3.117557e-05	0.0067748658	0.1
3.523988e-05	0.82474288	0.1	3.523988e-05	0.03293802	0.1	3.523988e-05	0.115194581	0.1	3.523988e-05	0.000123135756	0.1	3.523988e-05	0.0075774142	0.1
4.019866e-05	0.80442851	0.1	4.019866e-05	0.0370865	0.1	4.019866e-05	0.129709383	0.1	4.019866e-05	0.000138641306	0.1	4.019866e-05	0.0085318505	0.1
4.61393e-05	0.7808282499999999	0.1	4.61393e-05	0.04190598	0.1	4.61393e-05	0.14657189999999998	0.1	4.61393e-05	0.000156654824	0.1	4.61393e-05	0.0096406633	0.1
5.32173e-05	0.753716681	0.1	5.32173e-05	0.04744254	0.1	5.32173e-05	0.165943367	0.1	5.32173e-05	0.000177348591	0.1	5.32173e-05	0.0109144545	0.1
6.373008e-05	0.7153668990000001	0.1	6.373008e-05	0.05527407	0.1	6.373008e-05	0.193344526	0.1	6.373008e-05	0.000206620135	0.1	6.373008e-05	0.0127162452	0.1
7.844136e-05	0.6652907859999999	0.1	7.844136e-05	0.0655003	0.1	7.844136e-05	0.22912434199999998	0.1	7.844136e-05	0.000244842261	0.1	7.844136e-05	0.015068983	0.1
9.738013e-05	0.6064357850000001	0.1	9.738013e-05	0.07751932	0.1	9.738013e-05	0.271176766	0.1	9.738013e-05	0.000289765112	0.1	9.738013e-05	0.017834188	0.1
0.0001220329	0.538207157	0.1	0.0001220329	0.09145252	0.1	0.0001220329	0.31992663999999993	0.1	0.0001220329	0.000341842579	0.1	0.0001220329	0.021039784000000002	0.1
0.0001466857	0.478238097	0.1	0.0001466857	0.103699	0.1	0.0001466857	0.36277496	0.1	0.0001466857	0.000387615763	0.1	0.0001466857	0.023857325999999998	0.1
0.0001713385	0.425407604	0.1	0.0001713385	0.1144877	0.1	0.0001713385	0.40052279	0.1	0.0001713385	0.00042794012	0.1	0.0001713385	0.026339471000000003	0.1
0.0001959913	0.37877176400000007	0.1	0.0001959913	0.1240114	0.1	0.0001959913	0.43384447000000004	0.1	0.0001959913	0.00046353620399999996	0.1	0.0001959913	0.028530576000000002	0.1
0.0002206441	0.337530829	0.1	0.0002206441	0.1324334	0.1	0.0002206441	0.46331152000000003	0.1	0.0002206441	0.0004950146429999999	0.1	0.0002206441	0.030468211999999998	0.1
0.0002452969	0.301002996	0.1	0.0002452969	0.1398928	0.1	0.0002452969	0.48941089	0.1	0.0002452969	0.000522895585	0.1	0.0002452969	0.032184408	0.1
0.0002699497	0.268604486	0.1	0.0002699497	0.1465091	0.1	0.0002699497	0.5125598600000001	0.1	0.0002699497	0.00054762469	0.1	0.0002699497	0.033706596000000005	0.1
0.0002946025	0.23983287099999998	0.1	0.0002946025	0.1523846	0.1	0.0002946025	0.53311742	0.1	0.0002946025	0.00056958545	0.1	0.0002946025	0.035058371000000005	0.1
0.0003192553	0.21425400299999997	0.1	0.0003192553	0.1576082	0.1	0.0003192553	0.55139374	0.1	0.0003192553	0.000589109341	0.1	0.0003192553	0.036260149000000005	0.1
0.0003439081	0.19149131	0.1	0.0003439081	0.1622566	0.1	0.0003439081	0.5676579199999999	0.1	0.0003439081	0.000606483653	0.1	0.0003439081	0.037329616999999995	0.1
0.0003685609	0.17121715199999998	0.1	0.0003685609	0.1663969	0.1	0.0003685609	0.58214386	0.1	0.0003685609	0.000621958493	0.1	0.0003685609	0.038282162999999994	0.1
0.0003932137	0.15314543500000002	0.1	0.0003932137	0.1700874	0.1	0.0003932137	0.59505626	0.1	0.0003932137	0.0006357521719999999	0.1	0.0003932137	0.039131232	0.1
0.0004178665	0.137025765	0.1	0.0004178665	0.1733792	0.1	0.0004178665	0.60657394	0.1	0.0004178665	0.00064805608	0.1	0.0004178665	0.039888588	0.1
0.0004425193	0.12263845899999999	0.1	0.0004425193	0.1763173	0.1	0.0004425193	0.6168537999999999	0.1	0.0004425193	0.00065903762	0.1	0.0004425193	0.040564547	0.1
0.0004671721	0.10979024200000001	0.1	0.0004671721	0.1789411	0.1	0.0004671721	0.6260340499999999	0.1	0.0004671721	0.00066884442	0.1	0.0004671721	0.041168197000000004	0.1
0.0004918249	0.098310833	0.1	0.0004918249	0.1812853	0.1	0.0004918249	0.63423615	0.1	0.0004918249	0.00067760629	0.1	0.0004918249	0.041707541	0.1
0.0005214174	0.086128458	0.1	0.0005214174	0.1837732	0.1	0.0005214174	0.64294056	0.1	0.0005214174	0.00068690495	0.1	0.0005214174	0.042279906	0.1
0.00055101	0.07547536779999998	0.1	0.00055101	0.1859487	0.1	0.00055101	0.65055221	0.1	0.00055101	0.00069503617	0.1	0.00055101	0.042780416	0.1
0.0005806025	0.0661550437	0.1	0.0005806025	0.187852	0.1	0.0005806025	0.6572116400000001	0.1	0.0005806025	0.00070215031	0.1	0.0005806025	0.043218325	0.1
0.0006101951	0.057997240699999994	0.1	0.0006101951	0.1895179	0.1	0.0006101951	0.66304039	0.1	0.0006101951	0.0007083769799999999	0.1	0.0006101951	0.043601601	0.1
0.0006397876	0.0508543037	0.1	0.0006397876	0.1909766	0.1	0.0006397876	0.6681440999999999	0.1	0.0006397876	0.00071382895	0.1	0.0006397876	0.043937193	0.1
0.0006693802	0.0445979224	0.1	0.0006693802	0.1922543	0.1	0.0006693802	0.67261439	0.1	0.0006693802	0.00071860434	0.1	0.0006693802	0.044231144	0.1
0.0006989727	0.039116487	0.1	0.0006989727	0.1933736	0.1	0.0006989727	0.6765310200000001	0.1	0.0006989727	0.0007227882	0.1	0.0006989727	0.044488675	0.1
0.0007285653	0.0343127915	0.1	0.0007285653	0.1943546	0.1	0.0007285653	0.6799632400000001	0.1	0.0007285653	0.00072645478	0.1	0.0007285653	0.044714376	0.1
0.0007581578	0.030102112500000004	0.1	0.0007581578	0.1952145	0.1	0.0007581578	0.6829717200000001	0.1	0.0007581578	0.00072966858	0.1	0.0007581578	0.0449122	0.1
0.0007877504	0.026410534899999998	0.1	0.0007877504	0.1959684	0.1	0.0007877504	0.68560944	0.1	0.0007877504	0.0007324863	0.1	0.0007877504	0.045085644999999994	0.1
0.0008173429	0.023173506	0.1	0.0008173429	0.1966294	0.1	0.0008173429	0.68792231	0.1	0.0008173429	0.0007349571000000001	0.1	0.0008173429	0.045237734	0.1
0.0008469354	0.0203346391	0.1	0.0008469354	0.1972091	0.1	0.0008469354	0.6899506900000001	0.1	0.0008469354	0.00073712405	0.1	0.0008469354	0.04537111	0.1
0.000876528	0.017844635	0.1	0.000876528	0.1977176	0.1	0.000876528	0.69172979	0.1	0.000876528	0.0007390245399999999	0.1	0.000876528	0.045488097000000005	0.1
0.0009061205	0.0156603706	0.1	0.0009061205	0.1981637	0.1	0.0009061205	0.6932904900000001	0.1	0.0009061205	0.0007406917800000001	0.1	0.0009061205	0.045590725	0.1
0.0009381085	0.013599697499999997	0.1	0.0009381085	0.1985845	0.1	0.0009381085	0.6947629200000001	0.1	0.0009381085	0.0007422646500000001	0.1	0.0009381085	0.045687538	0.1
0.0009736894	0.0116251362	0.1	0.0009736894	0.1989877	0.1	0.0009736894	0.69617374	0.1	0.0009736894	0.0007437718000000001	0.1	0.0009736894	0.045780314	0.1
