Batch	m_SP	12	N7a_L	N1b	N1c	N1a	N_2	N3	N4	N5	N6	Flvln	Nphln	Azln																					
1.892796e-07	0.99999908765854	0.1	1.892796e-07	5.858471e-12	0.1	1.892796e-07	8.147605e-15	0.1	1.892796e-07	3.622693e-13	0.1	1.892796e-07	2.410964e-13	0.1	1.892796e-07	5.018568e-12	0.1	1.892796e-07	4.472373e-15	0.1	1.892796e-07	7.793993e-10	0.1	1.892796e-07	2.1409e-15	0.1	1.892796e-07	9.496378e-14	0.1	1.892796e-07	4.333038e-08	0.1	1.892796e-07	4.271232e-07	0.1
2.089366e-07	0.99999893421897	0.1	2.089366e-07	6.49632e-12	0.1	2.089366e-07	8.203513e-15	0.1	2.089366e-07	3.677324e-13	0.1	2.089366e-07	2.44732e-13	0.1	2.089366e-07	4.993117e-12	0.1	2.089366e-07	4.450224e-15	0.1	2.089366e-07	7.759243e-10	0.1	2.089366e-07	2.137567e-15	0.1	2.089366e-07	1.04831e-13	0.1	2.089366e-07	4.77828e-08	0.1	2.089366e-07	4.714782e-07	0.1
2.285936e-07	0.99999886187047	0.1	2.285936e-07	7.132017e-12	0.1	2.285936e-07	8.259719e-15	0.1	2.285936e-07	3.732218e-13	0.1	2.285936e-07	2.483852e-13	0.1	2.285936e-07	4.972938e-12	0.1	2.285936e-07	4.432664e-15	0.1	2.285936e-07	7.731638e-10	0.1	2.285936e-07	2.134923e-15	0.1	2.285936e-07	1.146989e-13	0.1	2.285936e-07	5.222591e-08	0.1	2.285936e-07	5.158327e-07	0.1
2.482505e-07	0.99999880359418	0.1	2.482505e-07	7.765644e-12	0.1	2.482505e-07	8.316147e-15	0.1	2.482505e-07	3.787325e-13	0.1	2.482505e-07	2.520526e-13	0.1	2.482505e-07	4.956941e-12	0.1	2.482505e-07	4.418742e-15	0.1	2.482505e-07	7.709734e-10	0.1	2.482505e-07	2.132828e-15	0.1	2.482505e-07	1.245678e-13	0.1	2.482505e-07	5.666166e-08	0.1	2.482505e-07	5.601866e-07	0.1
2.703035e-07	0.99999862535174	0.1	2.703035e-07	8.474125e-12	0.1	2.703035e-07	8.379628e-15	0.1	2.703035e-07	3.849327e-13	0.1	2.703035e-07	2.561788e-13	0.1	2.703035e-07	4.942903e-12	0.1	2.703035e-07	4.406526e-15	0.1	2.703035e-07	7.690507e-10	0.1	2.703035e-07	2.130989e-15	0.1	2.703035e-07	1.356409e-13	0.1	2.703035e-07	6.163118e-08	0.1	2.703035e-07	6.099462e-07	0.1
2.939539e-07	0.99999850615315	0.1	2.939539e-07	9.231211e-12	0.1	2.939539e-07	8.44782e-15	0.1	2.939539e-07	3.915938e-13	0.1	2.939539e-07	2.606118e-13	0.1	2.939539e-07	4.931405e-12	0.1	2.939539e-07	4.39652e-15	0.1	2.939539e-07	7.674757e-10	0.1	2.939539e-07	2.129483e-15	0.1	2.939539e-07	1.475179e-13	0.1	2.939539e-07	6.695438e-08	0.1	2.939539e-07	6.63309e-07	0.1
3.176042e-07	0.99999840600296	0.1	3.176042e-07	9.985568e-12	0.1	3.176042e-07	8.516047e-15	0.1	3.176042e-07	3.982593e-13	0.1	3.176042e-07	2.650477e-13	0.1	3.176042e-07	4.922709e-12	0.1	3.176042e-07	4.388952e-15	0.1	3.176042e-07	7.662844e-10	0.1	3.176042e-07	2.128344e-15	0.1	3.176042e-07	1.593969e-13	0.1	3.176042e-07	7.227263e-08	0.1	3.176042e-07	7.166709e-07	0.1
3.412545e-07	0.99999834788937	0.1	3.412545e-07	1.073726e-11	0.1	3.412545e-07	8.584246e-15	0.1	3.412545e-07	4.049227e-13	0.1	3.412545e-07	2.694823e-13	0.1	3.412545e-07	4.916132e-12	0.1	3.412545e-07	4.383228e-15	0.1	3.412545e-07	7.653835e-10	0.1	3.412545e-07	2.127483e-15	0.1	3.412545e-07	1.71278e-13	0.1	3.412545e-07	7.758715e-08	0.1	3.412545e-07	7.700317e-07	0.1
3.668772e-07	0.99999820479733	0.1	3.668772e-07	1.154868e-11	0.1	3.668772e-07	8.658046e-15	0.1	3.668772e-07	4.121339e-13	0.1	3.668772e-07	2.742815e-13	0.1	3.668772e-07	4.910802e-12	0.1	3.668772e-07	4.37859e-15	0.1	3.668772e-07	7.646534e-10	0.1	3.668772e-07	2.126785e-15	0.1	3.668772e-07	1.841525e-13	0.1	3.668772e-07	8.334172e-08	0.1	3.668772e-07	8.278414e-07	0.1
3.954585e-07	0.99999808472271	0.1	3.954585e-07	1.245022e-11	0.1	3.954585e-07	8.740207e-15	0.1	3.954585e-07	4.201626e-13	0.1	3.954585e-07	2.796247e-13	0.1	3.954585e-07	4.906482e-12	0.1	3.954585e-07	4.37483e-15	0.1	3.954585e-07	7.640616e-10	0.1	3.954585e-07	2.126219e-15	0.1	3.954585e-07	1.985166e-13	0.1	3.954585e-07	8.975789e-08	0.1	3.954585e-07	8.923247e-07	0.1
4.240399e-07	0.99999785166946	0.1	4.240399e-07	1.334805e-11	0.1	4.240399e-07	8.822155e-15	0.1	4.240399e-07	4.281709e-13	0.1	4.240399e-07	2.849543e-13	0.1	4.240399e-07	4.903399e-12	0.1	4.240399e-07	4.372148e-15	0.1	4.240399e-07	7.636394e-10	0.1	4.240399e-07	2.125816e-15	0.1	4.240399e-07	2.12884e-13	0.1	4.240399e-07	9.617187e-08	0.1	4.240399e-07	9.568061e-07	0.1
4.526212e-07	0.99999777763147	0.1	4.526212e-07	1.42422e-11	0.1	4.526212e-07	8.903858e-15	0.1	4.526212e-07	4.361554e-13	0.1	4.526212e-07	2.902682e-13	0.1	4.526212e-07	4.9012e-12	0.1	4.526212e-07	4.370233e-15	0.1	4.526212e-07	7.633381e-10	0.1	4.526212e-07	2.125528e-15	0.1	4.526212e-07	2.272547e-13	0.1	4.526212e-07	1.025843e-07	0.1	4.526212e-07	1.021286e-06	0.1
4.869994e-07	0.9999975795999001	0.1	4.869994e-07	1.531289e-11	0.1	4.869994e-07	9.001776e-15	0.1	4.869994e-07	4.457246e-13	0.1	4.869994e-07	2.966367e-13	0.1	4.869994e-07	4.899371e-12	0.1	4.869994e-07	4.368642e-15	0.1	4.869994e-07	7.630878e-10	0.1	4.869994e-07	2.125289e-15	0.1	4.869994e-07	2.445442e-13	0.1	4.869994e-07	1.102958e-07	0.1	4.869994e-07	1.09884e-06	0.1
5.213776e-07	0.99999745057886	0.1	5.213776e-07	1.637836e-11	0.1	5.213776e-07	9.099279e-15	0.1	5.213776e-07	4.552535e-13	0.1	5.213776e-07	3.029783e-13	0.1	5.213776e-07	4.898153e-12	0.1	5.213776e-07	4.367582e-15	0.1	5.213776e-07	7.629211e-10	0.1	5.213776e-07	2.12513e-15	0.1	5.213776e-07	2.618382e-13	0.1	5.213776e-07	1.180063e-07	0.1	5.213776e-07	1.176391e-06	0.1
5.557557e-07	0.99999719856484	0.1	5.557557e-07	1.743865e-11	0.1	5.557557e-07	9.196351e-15	0.1	5.557557e-07	4.647402e-13	0.1	5.557557e-07	3.092919e-13	0.1	5.557557e-07	4.897342e-12	0.1	5.557557e-07	4.366876e-15	0.1	5.557557e-07	7.628101e-10	0.1	5.557557e-07	2.125024e-15	0.1	5.557557e-07	2.791367e-13	0.1	5.557557e-07	1.257161e-07	0.1	5.557557e-07	1.253938e-06	0.1
5.976205e-07	0.9999970655539201	0.1	5.976205e-07	1.872291e-11	0.1	5.976205e-07	9.313966e-15	0.1	5.976205e-07	4.762345e-13	0.1	5.976205e-07	3.169416e-13	0.1	5.976205e-07	4.89671e-12	0.1	5.976205e-07	4.366326e-15	0.1	5.976205e-07	7.627237e-10	0.1	5.976205e-07	2.124942e-15	0.1	5.976205e-07	3.002079e-13	0.1	5.976205e-07	1.351042e-07	0.1	5.976205e-07	1.348368e-06	0.1
6.394852e-07	0.99999684854725	0.1	6.394852e-07	1.99996e-11	0.1	6.394852e-07	9.430916e-15	0.1	6.394852e-07	4.876636e-13	0.1	6.394852e-07	3.245479e-13	0.1	6.394852e-07	4.896325e-12	0.1	6.394852e-07	4.36599e-15	0.1	6.394852e-07	7.626711e-10	0.1	6.394852e-07	2.124892e-15	0.1	6.394852e-07	3.212852e-13	0.1	6.394852e-07	1.444918e-07	0.1	6.394852e-07	1.442792e-06	0.1
