Batch	m_SP	7	W3	W4_L	R	P1	P2_L	P3	P4											
2.289348e-05	0.2718233	0.1	2.289348e-05	0.00048932108	0.1	2.289348e-05	2.62238e-05	0.1	2.289348e-05	0.3633972	0.1	2.289348e-05	2.4593208e-05	0.1	2.289348e-05	4.845353e-06	0.1	2.289348e-05	0.0002791419	0.1
2.481943e-05	0.2484059	0.1	2.481943e-05	0.00044860797000000004	0.1	2.481943e-05	2.488337e-05	0.1	2.481943e-05	0.375153	0.1	2.481943e-05	2.3326078e-05	0.1	2.481943e-05	4.596686e-06	0.1	2.481943e-05	0.0002643777	0.1
2.674538e-05	0.2273676	0.1	2.674538e-05	0.00041160199	0.1	2.674538e-05	2.363947e-05	0.1	2.674538e-05	0.3857151	0.1	2.674538e-05	2.2152917e-05	0.1	2.674538e-05	4.365769e-06	0.1	2.674538e-05	0.0002507933	0.1
2.891114e-05	0.2061815	0.1	2.891114e-05	0.00037403280999999996	0.1	2.891114e-05	2.234618e-05	0.1	2.891114e-05	0.3963519	0.1	2.891114e-05	2.0935269e-05	0.1	2.891114e-05	4.125557e-06	0.1	2.891114e-05	0.0002367524	0.1
3.123679e-05	0.1859576	0.1	3.123679e-05	0.00033796498	0.1	3.123679e-05	2.10696e-05	0.1	3.123679e-05	0.4065062	0.1	3.123679e-05	1.97349e-05	0.1	3.123679e-05	3.888345e-06	0.1	3.123679e-05	0.0002229486	0.1
3.356244e-05	0.1679948	0.1	3.356244e-05	0.00030581159000000004	0.1	3.356244e-05	1.989672e-05	0.1	3.356244e-05	0.4155258	0.1	3.356244e-05	1.8633074e-05	0.1	3.356244e-05	3.670323e-06	0.1	3.356244e-05	0.0002102967	0.1
3.588809e-05	0.1519905	0.1	3.588809e-05	0.00027709876	0.1	3.588809e-05	1.881608e-05	0.1	3.588809e-05	0.4235624	0.1	3.588809e-05	1.7618608e-05	0.1	3.588809e-05	3.469383e-06	0.1	3.588809e-05	0.0001986545	0.1
3.774861e-05	0.1404255	0.1	3.774861e-05	0.00025632347	0.1	3.774861e-05	1.801115e-05	0.1	3.774861e-05	0.4293701	0.1	3.774861e-05	1.6863337000000003e-05	0.1	3.774861e-05	3.319672e-06	0.1	3.774861e-05	0.0001899872	0.1
3.84463e-05	0.1363467	0.1	3.84463e-05	0.00024899209	0.1	3.84463e-05	1.77219e-05	0.1	3.84463e-05	0.4314185	0.1	3.84463e-05	1.6592011000000003e-05	0.1	3.84463e-05	3.265866e-06	0.1	3.84463e-05	0.000186873	0.1
3.926028e-05	0.131755	0.1	3.926028e-05	0.00024073645999999997	0.1	3.926028e-05	1.739267e-05	0.1	3.926028e-05	0.4337245	0.1	3.926028e-05	1.628322e-05	0.1	3.926028e-05	3.204617e-06	0.1	3.926028e-05	0.0001833284	0.1
4.055594e-05	0.1247978	0.1	4.055594e-05	0.00022822415000000004	0.1	4.055594e-05	1.68861e-05	0.1	4.055594e-05	0.4372186	0.1	4.055594e-05	1.5808202e-05	0.1	4.055594e-05	3.110364e-06	0.1	4.055594e-05	0.0001778741	0.1
4.238296e-05	0.1156708	0.1	4.238296e-05	0.00021180338899999998	0.1	4.238296e-05	1.620613e-05	0.1	4.238296e-05	0.4418026	0.1	4.238296e-05	1.5170746e-05	0.1	4.238296e-05	2.983823e-06	0.1	4.238296e-05	0.0001705514	0.1
4.509649e-05	0.1034448	0.1	4.509649e-05	0.000189798692	0.1	4.509649e-05	1.526412e-05	0.1	4.509649e-05	0.4479434	0.1	4.509649e-05	1.4287991e-05	0.1	4.509649e-05	2.808471e-06	0.1	4.509649e-05	0.0001604024	0.1
4.808347e-05	0.09159848	0.1	4.808347e-05	0.000168470113	0.1	4.808347e-05	1.431126e-05	0.1	4.808347e-05	0.4538941	0.1	4.808347e-05	1.3395541e-05	0.1	4.808347e-05	2.631037e-06	0.1	4.808347e-05	0.0001501291	0.1
5.148061e-05	0.07988501	0.1	5.148061e-05	0.000147374544	0.1	5.148061e-05	1.332188e-05	0.1	5.148061e-05	0.4597786	0.1	5.148061e-05	1.24694355e-05	0.1	5.148061e-05	2.446722e-06	0.1	5.148061e-05	0.0001394509	0.1
5.487775e-05	0.06976603	0.1	5.487775e-05	0.00012914564000000002	0.1	5.487775e-05	1.242064e-05	0.1	5.487775e-05	0.4648627	0.1	5.487775e-05	1.16264402e-05	0.1	5.487775e-05	2.278747e-06	0.1	5.487775e-05	0.0001297115	0.1
5.827489e-05	0.06100197	0.1	5.827489e-05	0.0001133533	0.1	5.827489e-05	1.159692e-05	0.1	5.827489e-05	0.4692667	0.1	5.827489e-05	1.0856593e-05	0.1	5.827489e-05	2.12514e-06	0.1	5.827489e-05	0.000120797	0.1
6.031317e-05	0.05630994	0.1	6.031317e-05	0.000104896528	0.1	6.031317e-05	1.113614e-05	0.1	6.031317e-05	0.4716247	0.1	6.031317e-05	1.0426260300000001e-05	0.1	6.031317e-05	2.039178e-06	0.1	6.031317e-05	0.000115804	0.1
6.133231e-05	0.05410814	0.1	6.133231e-05	0.000100927523	0.1	6.133231e-05	1.091448e-05	0.1	6.133231e-05	0.4727313	0.1	6.133231e-05	1.0219341100000001e-05	0.1	6.133231e-05	1.997814e-06	0.1	6.133231e-05	0.0001134003	0.1
6.251683e-05	0.05166237	0.1	6.251683e-05	9.6518261e-05	0.1	6.251683e-05	1.066383e-05	0.1	6.251683e-05	0.4739605	0.1	6.251683e-05	9.9854371e-06	0.1	6.251683e-05	1.951031e-06	0.1	6.251683e-05	0.0001106805	0.1
6.443953e-05	0.04793631	0.1	6.443953e-05	8.9799828e-05	0.1	6.443953e-05	1.027224e-05	0.1	6.443953e-05	0.4758334	0.1	6.443953e-05	9.6201863e-06	0.1	6.443953e-05	1.877921e-06	0.1	6.443953e-05	0.0001064279	0.1
6.730364e-05	0.04289869	0.1	6.730364e-05	8.0714258e-05	0.1	6.730364e-05	9.72178e-06	0.1	6.730364e-05	0.4783659	0.1	6.730364e-05	9.1071839e-06	0.1	6.730364e-05	1.775104e-06	0.1	6.730364e-05	0.0001004418	0.1
7.065391e-05	0.03769819	0.1	7.065391e-05	7.133154000000001e-05	0.1	7.065391e-05	9.1238e-06	0.1	7.065391e-05	0.4809806	0.1	7.065391e-05	8.5505593e-06	0.1	7.065391e-05	1.663342e-06	0.1	7.065391e-05	9.392632e-05	0.1
7.43283e-05	0.03273976	0.1	7.43283e-05	6.2381499e-05	0.1	7.43283e-05	8.519596e-06	0.1	7.43283e-05	0.483474	0.1	7.43283e-05	7.9889999e-06	0.1	7.43283e-05	1.55033e-06	0.1	7.43283e-05	8.732702e-05	0.1
7.800268e-05	0.02845193	0.1	7.800268e-05	5.4637819e-05	0.1	7.800268e-05	7.964199e-06	0.1	7.800268e-05	0.4856307	0.1	7.800268e-05	7.4737418e-06	0.1	7.800268e-05	1.446358e-06	0.1	7.800268e-05	8.124363e-05	0.1
8.167707e-05	0.0247396	0.1	8.167707e-05	4.7929562e-05	0.1	8.167707e-05	7.452971e-06	0.1	8.167707e-05	0.4874983	0.1	8.167707e-05	7.0004462e-06	0.1	8.167707e-05	1.350567e-06	0.1	8.167707e-05	7.562631e-05	0.1
8.424914e-05	0.02243976	0.1	8.424914e-05	4.3771442e-05	0.1	8.424914e-05	7.119213e-06	0.1	8.424914e-05	0.4886556	0.1	8.424914e-05	6.6920673e-06	0.1	8.424914e-05	1.287976e-06	0.1	8.424914e-05	7.194805e-05	0.1
8.516774e-05	0.02167245	0.1	8.516774e-05	4.2383682e-05	0.1	8.516774e-05	7.004539e-06	0.1	8.516774e-05	0.4890417	0.1	8.516774e-05	6.5862421999999995e-06	0.1	8.516774e-05	1.266461e-06	0.1	8.516774e-05	7.068199e-05	0.1
8.612512e-05	0.02090125	0.1	8.612512e-05	4.0988655e-05	0.1	8.612512e-05	6.887467e-06	0.1	8.612512e-05	0.4894299	0.1	8.612512e-05	6.4782773e-06	0.1	8.612512e-05	1.244489e-06	0.1	8.612512e-05	6.938816e-05	0.1
8.723765e-05	0.0200402	0.1	8.723765e-05	3.9430772e-05	0.1	8.723765e-05	6.754481e-06	0.1	8.723765e-05	0.4898632	0.1	8.723765e-05	6.3557308e-06	0.1	8.723765e-05	1.219524e-06	0.1	8.723765e-05	6.791677e-05	0.1
8.900288e-05	0.0187476	0.1	8.900288e-05	3.7091414e-05	0.1	8.900288e-05	6.550012e-06	0.1	8.900288e-05	0.4905139	0.1	8.900288e-05	6.1675262e-06	0.1	8.900288e-05	1.181122e-06	0.1	8.900288e-05	6.565075e-05	0.1
9.176944e-05	0.01689038	0.1	9.176944e-05	3.3728601000000004e-05	0.1	9.176944e-05	6.244995e-06	0.1	9.176944e-05	0.4914489	0.1	9.176944e-05	5.8872996e-06	0.1	9.176944e-05	1.123797e-06	0.1	9.176944e-05	6.226114e-05	0.1
9.493132e-05	0.01499556	0.1	9.493132e-05	3.0295416e-05	0.1	9.493132e-05	5.918133e-06	0.1	9.493132e-05	0.4924031	0.1	9.493132e-05	5.5878111e-06	0.1	9.493132e-05	1.062308e-06	0.1	9.493132e-05	5.861464e-05	0.1
9.86732e-05	0.01302972	0.1	9.86732e-05	2.6730593000000002e-05	0.1	9.86732e-05	5.559159e-06	0.1	9.86732e-05	0.4933933	0.1	9.86732e-05	5.26004e-06	0.1	9.86732e-05	9.947013e-07	0.1	9.86732e-05	5.45899e-05	0.1
0.0001024151	0.01132482	0.1	0.0001024151	2.3635933000000002e-05	0.1	0.0001024151	5.228087e-06	0.1	0.0001024151	0.4942524	0.1	0.0001024151	4.9590169e-06	0.1	0.0001024151	9.322699e-07	0.1	0.0001024151	5.085561e-05	0.1
