Batch	m_SP	13	W2	W1	W3	W4	W5	W6	R	P1	P2	P3	P4	P5	P6																							
26.08428	0.0750092	0.1	26.08428	4.050125e-09	0.1	26.08428	0.9249831	0.1	26.08428	1.432931e-06	0.1	26.08428	1.800102e-06	0.1	26.08428	3.774082e-06	0.1	26.08428	4.258403e-12	0.1	26.08428	3.220224e-07	0.1	26.08428	1.987969e-11	0.1	26.08428	8.199631e-13	0.1	26.08428	1.8733e-14	0.1	26.08428	1.98001e-13	0.1	26.08428	1.685644e-24	0.1
27.41922	0.06569722	0.1	27.41922	4.090891e-09	0.1	27.41922	0.9342948	0.1	27.41922	1.447358e-06	0.1	27.41922	1.818225e-06	0.1	27.41922	4.031704e-06	0.1	27.41922	4.281216e-12	0.1	27.41922	3.373692e-07	0.1	27.41922	1.890897e-11	0.1	27.41922	7.804739e-13	0.1	27.41922	1.894577e-14	0.1	27.41922	1.91494e-13	0.1	27.41922	1.653519e-24	0.1
28.75416	0.05754133	0.1	28.75416	4.126597e-09	0.1	28.75416	0.9424504	0.1	28.75416	1.459993e-06	0.1	28.75416	1.834098e-06	0.1	28.75416	4.291275e-06	0.1	28.75416	4.298171e-12	0.1	28.75416	3.526921e-07	0.1	28.75416	1.799729e-11	0.1	28.75416	7.432664e-13	0.1	28.75416	1.913584e-14	0.1	28.75416	1.85214e-13	0.1	28.75416	1.621442e-24	0.1
30.08911	0.05039799	0.1	30.08911	4.157871e-09	0.1	30.08911	0.9495934	0.1	30.08911	1.471061e-06	0.1	30.08911	1.848001e-06	0.1	30.08911	4.552552e-06	0.1	30.08911	4.310027e-12	0.1	30.08911	3.67996e-07	0.1	30.08911	1.714116e-11	0.1	30.08911	7.082192e-13	0.1	30.08911	1.930604e-14	0.1	30.08911	1.791704e-13	0.1	30.08911	1.58965e-24	0.1
31.42405	0.0441415	0.1	31.42405	4.185262e-09	0.1	31.42405	0.9558496	0.1	31.42405	1.480754e-06	0.1	31.42405	1.860178e-06	0.1	31.42405	4.81532e-06	0.1	31.42405	4.317449e-12	0.1	31.42405	3.832851e-07	0.1	31.42405	1.633722e-11	0.1	31.42405	6.752122e-13	0.1	31.42405	1.945884e-14	0.1	31.42405	1.733677e-13	0.1	31.42405	1.558325e-24	0.1
32.759	0.03866176	0.1	32.759	4.209253e-09	0.1	32.759	0.961329	0.1	32.759	1.489244e-06	0.1	32.759	1.870843e-06	0.1	32.759	5.079393e-06	0.1	32.759	4.321018e-12	0.1	32.759	3.985632e-07	0.1	32.759	1.558226e-11	0.1	32.759	6.441281e-13	0.1	32.759	1.959639e-14	0.1	32.759	1.678063e-13	0.1	32.759	1.527608e-24	0.1
34.09394	0.03386233	0.1	34.09394	4.230266e-09	0.1	34.09394	0.9661281	0.1	34.09394	1.49668e-06	0.1	34.09394	1.880184e-06	0.1	34.09394	5.344607e-06	0.1	34.09394	4.321245e-12	0.1	34.09394	4.138335e-07	0.1	34.09394	1.487323e-11	0.1	34.09394	6.148537e-13	0.1	34.09394	1.972059e-14	0.1	34.09394	1.624841e-13	0.1	34.09394	1.497601e-24	0.1
35.42888	0.02965875	0.1	35.42888	4.24867e-09	0.1	35.42888	0.9703314	0.1	35.42888	1.503193e-06	0.1	35.42888	1.888366e-06	0.1	35.42888	5.610818e-06	0.1	35.42888	4.318574e-12	0.1	35.42888	4.29099e-07	0.1	35.42888	1.420724e-11	0.1	35.42888	5.872806e-13	0.1	35.42888	1.983309e-14	0.1	35.42888	1.573964e-13	0.1	35.42888	1.468381e-24	0.1
36.76383	0.02597704	0.1	36.76383	4.26479e-09	0.1	36.76383	0.9740128	0.1	36.76383	1.508898e-06	0.1	36.76383	1.895532e-06	0.1	36.76383	5.877901e-06	0.1	36.76383	4.313397e-12	0.1	36.76383	4.44362e-07	0.1	36.76383	1.358158e-11	0.1	36.76383	5.613056e-13	0.1	36.76383	1.993534e-14	0.1	36.76383	1.525374e-13	0.1	36.76383	1.44e-24	0.1
38.09877	0.02275243	0.1	38.09877	4.278909e-09	0.1	38.09877	0.9772371	0.1	38.09877	1.513894e-06	0.1	38.09877	1.901809e-06	0.1	38.09877	6.145745e-06	0.1	38.09877	4.306055e-12	0.1	38.09877	4.596249e-07	0.1	38.09877	1.299368e-11	0.1	38.09877	5.368307e-13	0.1	38.09877	2.002863e-14	0.1	38.09877	1.478998e-13	0.1	38.09877	1.412491e-24	0.1
39.43371	0.01992815	0.1	39.43371	4.291275e-09	0.1	39.43371	0.9800611	0.1	39.43371	1.51827e-06	0.1	39.43371	1.907307e-06	0.1	39.43371	6.414254e-06	0.1	39.43371	4.296846e-12	0.1	39.43371	4.748896e-07	0.1	39.43371	1.244115e-11	0.1	39.43371	5.137634e-13	0.1	39.43371	2.011405e-14	0.1	39.43371	1.434758e-13	0.1	39.43371	1.385874e-24	0.1
40.76866	0.0174545	0.1	40.76866	4.302107e-09	0.1	40.76866	0.9825344	0.1	40.76866	1.522104e-06	0.1	40.76866	1.912122e-06	0.1	40.76866	6.683343e-06	0.1	40.76866	4.286031e-12	0.1	40.76866	4.901576e-07	0.1	40.76866	1.192174e-11	0.1	40.76866	4.92016e-13	0.1	40.76866	2.019259e-14	0.1	40.76866	1.392571e-13	0.1	40.76866	1.360156e-24	0.1
42.1036	0.01528796	0.1	42.1036	4.311594e-09	0.1	42.1036	0.9847006	0.1	42.1036	1.525461e-06	0.1	42.1036	1.916339e-06	0.1	42.1036	6.952939e-06	0.1	42.1036	4.27384e-12	0.1	42.1036	5.054306e-07	0.1	42.1036	1.143333e-11	0.1	42.1036	4.715065e-13	0.1	42.1036	2.02651e-14	0.1	42.1036	1.35235e-13	0.1	42.1036	1.335334e-24	0.1
43.43855	0.0133904	0.1	43.43855	4.319904e-09	0.1	43.43855	0.9865979	0.1	43.43855	1.528402e-06	0.1	43.43855	1.920034e-06	0.1	43.43855	7.222976e-06	0.1	43.43855	4.26047e-12	0.1	43.43855	5.207098e-07	0.1	43.43855	1.097394e-11	0.1	43.43855	4.521572e-13	0.1	43.43855	2.033232e-14	0.1	43.43855	1.314007e-13	0.1	43.43855	1.311399e-24	0.1
44.77349	0.01172842	0.1	44.77349	4.327182e-09	0.1	44.77349	0.9882596	0.1	44.77349	1.530977e-06	0.1	44.77349	1.923269e-06	0.1	44.77349	7.493399e-06	0.1	44.77349	4.246097e-12	0.1	44.77349	5.359964e-07	0.1	44.77349	1.054173e-11	0.1	44.77349	4.338954e-13	0.1	44.77349	2.039492e-14	0.1	44.77349	1.277456e-13	0.1	44.77349	1.288336e-24	0.1
46.10843	0.01027277	0.1	46.10843	4.333557e-09	0.1	46.10843	0.9897149	0.1	46.10843	1.533233e-06	0.1	46.10843	1.926103e-06	0.1	46.10843	7.764157e-06	0.1	46.10843	4.230873e-12	0.1	46.10843	5.512913e-07	0.1	46.10843	1.013496e-11	0.1	46.10843	4.166529e-13	0.1	46.10843	2.045347e-14	0.1	46.10843	1.242609e-13	0.1	46.10843	1.266124e-24	0.1
