Batch	m_SP	18	T1a_L	C5H5	N1a	N1b	N1c	T2	T3	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h	N7a	N7c	N7b																																	
1.964077e-09	1.0000000100000002	0.1	1.964077e-09	0.0	0.1	1.964077e-09	0.0	0.1	1.964077e-09	0.0	0.1	1.964077e-09	0.0	0.1	1.964077e-09	0.0	0.1	1.964077e-09	0.0	0.1	1.964077e-09	0.0	0.1	1.964077e-09	0.0	0.1	1.964077e-09	0.0	0.1	1.964077e-09	0.0	0.1	1.964077e-09	0.0	0.1	1.964077e-09	0.0	0.1	1.964077e-09	0.0	0.1	1.964077e-09	0.0	0.1	1.964077e-09	0.0	0.1	1.964077e-09	0.0	0.1	1.964077e-09	0.0	0.1
2.148909e-09	0.9999999800000001	0.1	2.148909e-09	0.0	0.1	2.148909e-09	0.0	0.1	2.148909e-09	0.0	0.1	2.148909e-09	0.0	0.1	2.148909e-09	0.0	0.1	2.148909e-09	0.0	0.1	2.148909e-09	0.0	0.1	2.148909e-09	0.0	0.1	2.148909e-09	0.0	0.1	2.148909e-09	0.0	0.1	2.148909e-09	0.0	0.1	2.148909e-09	0.0	0.1	2.148909e-09	0.0	0.1	2.148909e-09	0.0	0.1	2.148909e-09	0.0	0.1	2.148909e-09	0.0	0.1	2.148909e-09	0.0	0.1
2.333742e-09	1.00000007	0.1	2.333742e-09	0.0	0.1	2.333742e-09	0.0	0.1	2.333742e-09	0.0	0.1	2.333742e-09	0.0	0.1	2.333742e-09	0.0	0.1	2.333742e-09	0.0	0.1	2.333742e-09	0.0	0.1	2.333742e-09	0.0	0.1	2.333742e-09	0.0	0.1	2.333742e-09	0.0	0.1	2.333742e-09	0.0	0.1	2.333742e-09	0.0	0.1	2.333742e-09	0.0	0.1	2.333742e-09	0.0	0.1	2.333742e-09	0.0	0.1	2.333742e-09	0.0	0.1	2.333742e-09	0.0	0.1
2.518574e-09	1.0	0.1	2.518574e-09	0.0	0.1	2.518574e-09	0.0	0.1	2.518574e-09	0.0	0.1	2.518574e-09	0.0	0.1	2.518574e-09	0.0	0.1	2.518574e-09	0.0	0.1	2.518574e-09	0.0	0.1	2.518574e-09	0.0	0.1	2.518574e-09	0.0	0.1	2.518574e-09	0.0	0.1	2.518574e-09	0.0	0.1	2.518574e-09	0.0	0.1	2.518574e-09	0.0	0.1	2.518574e-09	0.0	0.1	2.518574e-09	0.0	0.1	2.518574e-09	0.0	0.1	2.518574e-09	0.0	0.1
2.703406e-09	1.00000008	0.1	2.703406e-09	0.0	0.1	2.703406e-09	0.0	0.1	2.703406e-09	0.0	0.1	2.703406e-09	0.0	0.1	2.703406e-09	0.0	0.1	2.703406e-09	0.0	0.1	2.703406e-09	0.0	0.1	2.703406e-09	0.0	0.1	2.703406e-09	0.0	0.1	2.703406e-09	0.0	0.1	2.703406e-09	0.0	0.1	2.703406e-09	0.0	0.1	2.703406e-09	0.0	0.1	2.703406e-09	0.0	0.1	2.703406e-09	0.0	0.1	2.703406e-09	0.0	0.1	2.703406e-09	0.0	0.1
2.888238e-09	0.9999999999999999	0.1	2.888238e-09	0.0	0.1	2.888238e-09	0.0	0.1	2.888238e-09	0.0	0.1	2.888238e-09	0.0	0.1	2.888238e-09	0.0	0.1	2.888238e-09	0.0	0.1	2.888238e-09	0.0	0.1	2.888238e-09	0.0	0.1	2.888238e-09	0.0	0.1	2.888238e-09	0.0	0.1	2.888238e-09	0.0	0.1	2.888238e-09	0.0	0.1	2.888238e-09	0.0	0.1	2.888238e-09	0.0	0.1	2.888238e-09	0.0	0.1	2.888238e-09	0.0	0.1	2.888238e-09	0.0	0.1
3.095369e-09	0.99999994	0.1	3.095369e-09	0.0	0.1	3.095369e-09	0.0	0.1	3.095369e-09	0.0	0.1	3.095369e-09	0.0	0.1	3.095369e-09	0.0	0.1	3.095369e-09	0.0	0.1	3.095369e-09	0.0	0.1	3.095369e-09	0.0	0.1	3.095369e-09	0.0	0.1	3.095369e-09	0.0	0.1	3.095369e-09	0.0	0.1	3.095369e-09	0.0	0.1	3.095369e-09	0.0	0.1	3.095369e-09	0.0	0.1	3.095369e-09	0.0	0.1	3.095369e-09	0.0	0.1	3.095369e-09	0.0	0.1
3.317367e-09	1.0000001	0.1	3.317367e-09	0.0	0.1	3.317367e-09	0.0	0.1	3.317367e-09	0.0	0.1	3.317367e-09	0.0	0.1	3.317367e-09	0.0	0.1	3.317367e-09	0.0	0.1	3.317367e-09	0.0	0.1	3.317367e-09	0.0	0.1	3.317367e-09	0.0	0.1	3.317367e-09	0.0	0.1	3.317367e-09	0.0	0.1	3.317367e-09	0.0	0.1	3.317367e-09	0.0	0.1	3.317367e-09	0.0	0.1	3.317367e-09	0.0	0.1	3.317367e-09	0.0	0.1	3.317367e-09	0.0	0.1
3.539364e-09	0.99999995	0.1	3.539364e-09	0.0	0.1	3.539364e-09	0.0	0.1	3.539364e-09	0.0	0.1	3.539364e-09	0.0	0.1	3.539364e-09	0.0	0.1	3.539364e-09	0.0	0.1	3.539364e-09	0.0	0.1	3.539364e-09	0.0	0.1	3.539364e-09	0.0	0.1	3.539364e-09	0.0	0.1	3.539364e-09	0.0	0.1	3.539364e-09	0.0	0.1	3.539364e-09	0.0	0.1	3.539364e-09	0.0	0.1	3.539364e-09	0.0	0.1	3.539364e-09	0.0	0.1	3.539364e-09	0.0	0.1
3.761362e-09	0.9999999999999999	0.1	3.761362e-09	0.0	0.1	3.761362e-09	0.0	0.1	3.761362e-09	0.0	0.1	3.761362e-09	0.0	0.1	3.761362e-09	0.0	0.1	3.761362e-09	0.0	0.1	3.761362e-09	0.0	0.1	3.761362e-09	0.0	0.1	3.761362e-09	0.0	0.1	3.761362e-09	0.0	0.1	3.761362e-09	0.0	0.1	3.761362e-09	0.0	0.1	3.761362e-09	0.0	0.1	3.761362e-09	0.0	0.1	3.761362e-09	0.0	0.1	3.761362e-09	0.0	0.1	3.761362e-09	0.0	0.1
3.983359e-09	1.00000004	0.1	3.983359e-09	0.0	0.1	3.983359e-09	0.0	0.1	3.983359e-09	0.0	0.1	3.983359e-09	0.0	0.1	3.983359e-09	0.0	0.1	3.983359e-09	0.0	0.1	3.983359e-09	0.0	0.1	3.983359e-09	0.0	0.1	3.983359e-09	0.0	0.1	3.983359e-09	0.0	0.1	3.983359e-09	0.0	0.1	3.983359e-09	0.0	0.1	3.983359e-09	0.0	0.1	3.983359e-09	0.0	0.1	3.983359e-09	0.0	0.1	3.983359e-09	0.0	0.1	3.983359e-09	0.0	0.1
