Batch	m_SP	11	N1a_L	N3	N4	N5	N6	N7a	N7c	N7b	Flvln	Nphln	Azln																			
5.017895e-12	0.9999999737999999	0.1	5.017895e-12	0.0	0.1	5.017895e-12	0.0	0.1	5.017895e-12	0.0	0.1	5.017895e-12	0.0	0.1	5.017895e-12	0.0	0.1	5.017895e-12	0.0	0.1	5.017895e-12	0.0	0.1	5.017895e-12	0.0	0.1	5.017895e-12	0.0	0.1	5.017895e-12	0.0	0.1
5.275733e-12	0.9999999672	0.1	5.275733e-12	0.0	0.1	5.275733e-12	0.0	0.1	5.275733e-12	0.0	0.1	5.275733e-12	0.0	0.1	5.275733e-12	0.0	0.1	5.275733e-12	0.0	0.1	5.275733e-12	0.0	0.1	5.275733e-12	0.0	0.1	5.275733e-12	0.0	0.1	5.275733e-12	0.0	0.1
5.533572e-12	0.9999999325	0.1	5.533572e-12	0.0	0.1	5.533572e-12	0.0	0.1	5.533572e-12	0.0	0.1	5.533572e-12	0.0	0.1	5.533572e-12	0.0	0.1	5.533572e-12	0.0	0.1	5.533572e-12	0.0	0.1	5.533572e-12	0.0	0.1	5.533572e-12	0.0	0.1	5.533572e-12	0.0	0.1
5.79141e-12	0.9999999846000001	0.1	5.79141e-12	0.0	0.1	5.79141e-12	0.0	0.1	5.79141e-12	0.0	0.1	5.79141e-12	0.0	0.1	5.79141e-12	0.0	0.1	5.79141e-12	0.0	0.1	5.79141e-12	0.0	0.1	5.79141e-12	0.0	0.1	5.79141e-12	0.0	0.1	5.79141e-12	0.0	0.1
6.091941e-12	0.9999999516000001	0.1	6.091941e-12	0.0	0.1	6.091941e-12	0.0	0.1	6.091941e-12	0.0	0.1	6.091941e-12	0.0	0.1	6.091941e-12	0.0	0.1	6.091941e-12	0.0	0.1	6.091941e-12	0.0	0.1	6.091941e-12	0.0	0.1	6.091941e-12	0.0	0.1	6.091941e-12	0.0	0.1
6.403144e-12	1.0000000721	0.1	6.403144e-12	0.0	0.1	6.403144e-12	0.0	0.1	6.403144e-12	0.0	0.1	6.403144e-12	0.0	0.1	6.403144e-12	0.0	0.1	6.403144e-12	0.0	0.1	6.403144e-12	0.0	0.1	6.403144e-12	0.0	0.1	6.403144e-12	0.0	0.1	6.403144e-12	0.0	0.1
6.714347e-12	1.0000000448	0.1	6.714347e-12	0.0	0.1	6.714347e-12	0.0	0.1	6.714347e-12	0.0	0.1	6.714347e-12	0.0	0.1	6.714347e-12	0.0	0.1	6.714347e-12	0.0	0.1	6.714347e-12	0.0	0.1	6.714347e-12	0.0	0.1	6.714347e-12	0.0	0.1	6.714347e-12	0.0	0.1
7.025551e-12	0.9999999656999999	0.1	7.025551e-12	0.0	0.1	7.025551e-12	0.0	0.1	7.025551e-12	0.0	0.1	7.025551e-12	0.0	0.1	7.025551e-12	0.0	0.1	7.025551e-12	0.0	0.1	7.025551e-12	0.0	0.1	7.025551e-12	0.0	0.1	7.025551e-12	0.0	0.1	7.025551e-12	0.0	0.1
7.386883e-12	0.9999999725	0.1	7.386883e-12	0.0	0.1	7.386883e-12	0.0	0.1	7.386883e-12	0.0	0.1	7.386883e-12	0.0	0.1	7.386883e-12	0.0	0.1	7.386883e-12	0.0	0.1	7.386883e-12	0.0	0.1	7.386883e-12	0.0	0.1	7.386883e-12	0.0	0.1	7.386883e-12	0.0	0.1
7.760747e-12	0.9999999695999999	0.1	7.760747e-12	0.0	0.1	7.760747e-12	0.0	0.1	7.760747e-12	0.0	0.1	7.760747e-12	0.0	0.1	7.760747e-12	0.0	0.1	7.760747e-12	0.0	0.1	7.760747e-12	0.0	0.1	7.760747e-12	0.0	0.1	7.760747e-12	0.0	0.1	7.760747e-12	0.0	0.1
8.134611e-12	0.9999999127999999	0.1	8.134611e-12	0.0	0.1	8.134611e-12	0.0	0.1	8.134611e-12	0.0	0.1	8.134611e-12	0.0	0.1	8.134611e-12	0.0	0.1	8.134611e-12	0.0	0.1	8.134611e-12	0.0	0.1	8.134611e-12	0.0	0.1	8.134611e-12	0.0	0.1	8.134611e-12	0.0	0.1
8.539224e-12	0.9999999015	0.1	8.539224e-12	0.0	0.1	8.539224e-12	0.0	0.1	8.539224e-12	0.0	0.1	8.539224e-12	0.0	0.1	8.539224e-12	0.0	0.1	8.539224e-12	0.0	0.1	8.539224e-12	0.0	0.1	8.539224e-12	0.0	0.1	8.539224e-12	0.0	0.1	8.539224e-12	0.0	0.1
8.989961e-12	1.0000000418	0.1	8.989961e-12	0.0	0.1	8.989961e-12	0.0	0.1	8.989961e-12	0.0	0.1	8.989961e-12	0.0	0.1	8.989961e-12	0.0	0.1	8.989961e-12	0.0	0.1	8.989961e-12	0.0	0.1	8.989961e-12	0.0	0.1	8.989961e-12	0.0	0.1	8.989961e-12	0.0	0.1
9.440698e-12	1.0000000701	0.1	9.440698e-12	0.0	0.1	9.440698e-12	0.0	0.1	9.440698e-12	0.0	0.1	9.440698e-12	0.0	0.1	9.440698e-12	0.0	0.1	9.440698e-12	0.0	0.1	9.440698e-12	0.0	0.1	9.440698e-12	0.0	0.1	9.440698e-12	0.0	0.1	9.440698e-12	0.0	0.1
