Batch	m_SP	11	W4_L	W2	W3	W6	R	P1	P2	P3	P4	P5	P6																			
2203.901	0.0605719148	0.1	2203.901	3.810026e-11	0.1	2203.901	1.595258e-06	0.1	2203.901	5.469908e-05	0.1	2203.901	8.440169e-09	0.1	2203.901	0.4696859	0.1	2203.901	2.798949e-08	0.1	2203.901	7.083068e-10	0.1	2203.901	2.54044e-12	0.1	2203.901	1.502407e-10	0.1	2203.901	8.820431e-20	0.1
2297.055	0.0549723689	0.1	2297.055	3.4639e-11	0.1	2297.055	1.451072e-06	0.1	2297.055	5.364233e-05	0.1	2297.055	8.020521e-09	0.1	2297.055	0.4724862	0.1	2297.055	2.659565e-08	0.1	2297.055	6.730343e-10	0.1	2297.055	2.41859e-12	0.1	2297.055	1.4276e-10	0.1	2297.055	8.38156e-20	0.1
2380.894	0.0503978831	0.1	2380.894	3.18115e-11	0.1	2380.894	1.333288e-06	0.1	2380.894	5.278597e-05	0.1	2380.894	7.660778e-09	0.1	2380.894	0.474774	0.1	2380.894	2.540645e-08	0.1	2380.894	6.429393e-10	0.1	2380.894	2.315141e-12	0.1	2380.894	1.363746e-10	0.1	2380.894	8.006148e-20	0.1
2427.472	0.0480306577	0.1	2427.472	3.034836e-11	0.1	2427.472	1.272339e-06	0.1	2427.472	5.23453e-05	0.1	2427.472	7.471165e-09	0.1	2427.472	0.4759578	0.1	2427.472	2.477612e-08	0.1	2427.472	6.26988e-10	0.1	2427.472	2.260051e-12	0.1	2427.472	1.329919e-10	0.1	2427.472	7.807775e-20	0.1
2488.388	0.045108817200000005	0.1	2488.388	2.854248e-11	0.1	2488.388	1.197113e-06	0.1	2488.388	5.180374e-05	0.1	2488.388	7.230262e-09	0.1	2488.388	0.4774191	0.1	2488.388	2.397735e-08	0.1	2488.388	6.067741e-10	0.1	2488.388	2.190434e-12	0.1	2488.388	1.287043e-10	0.1	2488.388	7.556044e-20	0.1
2570.815	0.0414473224	0.1	2570.815	2.627951e-11	0.1	2570.815	1.102848e-06	0.1	2570.815	5.112879e-05	0.1	2570.815	6.918494e-09	0.1	2570.815	0.4792502	0.1	2570.815	2.294326e-08	0.1	2570.815	5.806051e-10	0.1	2570.815	2.100399e-12	0.1	2570.815	1.231536e-10	0.1	2570.815	7.230193e-20	0.1
2636.03	0.0387700493	0.1	2636.03	2.462489e-11	0.1	2636.03	1.033925e-06	0.1	2636.03	5.06379e-05	0.1	2636.03	6.682713e-09	0.1	2636.03	0.4805891	0.1	2636.03	2.216134e-08	0.1	2636.03	5.608176e-10	0.1	2636.03	2.03237e-12	0.1	2636.03	1.189564e-10	0.1	2636.03	6.983786e-20	0.1
2696.942	0.036431296099999996	0.1	2696.942	2.317954e-11	0.1	2696.942	9.737193e-07	0.1	2696.942	5.021092e-05	0.1	2696.942	6.470723e-09	0.1	2696.942	0.4817587	0.1	2696.942	2.145833e-08	0.1	2696.942	5.430268e-10	0.1	2696.942	1.97125e-12	0.1	2696.942	1.151828e-10	0.1	2696.942	6.762244e-20	0.1
2769.505	0.0338346441	0.1	2769.505	2.157484e-11	0.1	2769.505	9.068765e-07	0.1	2769.505	4.973887e-05	0.1	2769.505	6.228052e-09	0.1	2769.505	0.4830573	0.1	2769.505	2.065348e-08	0.1	2769.505	5.226589e-10	0.1	2769.505	1.901339e-12	0.1	2769.505	1.108625e-10	0.1	2769.505	6.508621e-20	0.1
2836.425	0.031609287099999994	0.1	2836.425	2.019962e-11	0.1	2836.425	8.495932e-07	0.1	2836.425	4.933602e-05	0.1	2836.425	6.013205e-09	0.1	2836.425	0.4841702	0.1	2836.425	1.994225e-08	0.1	2836.425	5.046602e-10	0.1	2836.425	1.83952e-12	0.1	2836.425	1.070447e-10	0.1	2836.425	6.284338e-20	0.1
2892.06	0.029874271499999997	0.1	2892.06	1.912745e-11	0.1	2892.06	8.049332e-07	0.1	2892.06	4.902303e-05	0.1	2892.06	5.841035e-09	0.1	2892.06	0.4850379	0.1	2892.06	1.936934e-08	0.1	2892.06	4.90162e-10	0.1	2892.06	1.789975e-12	0.1	2892.06	1.039696e-10	0.1	2892.06	6.104032e-20	0.1
2938.423	0.028503412699999998	0.1	2938.423	1.828033e-11	0.1	2938.423	7.696476e-07	0.1	2938.423	4.877642e-05	0.1	2938.423	5.701546e-09	0.1	2938.423	0.4857235	0.1	2938.423	1.890905e-08	0.1	2938.423	4.785135e-10	0.1	2938.423	1.749918e-12	0.1	2938.423	1.014985e-10	0.1	2938.423	5.95869e-20	0.1
2994.637	0.0269275881	0.1	2994.637	1.730656e-11	0.1	2994.637	7.290869e-07	0.1	2994.637	4.849368e-05	0.1	2994.637	5.537569e-09	0.1	2994.637	0.4865116	0.1	2994.637	1.836263e-08	0.1	2994.637	4.646857e-10	0.1	2994.637	1.702795e-12	0.1	2994.637	9.856582e-11	0.1	2994.637	5.786832e-20	0.1
3050.85	0.0254410308	0.1	3050.85	1.638798e-11	0.1	3050.85	6.908251e-07	0.1	3050.85	4.82277e-05	0.1	3050.85	5.378612e-09	0.1	3050.85	0.487255	0.1	3050.85	1.783634e-08	0.1	3050.85	4.513673e-10	0.1	3050.85	1.657197e-12	0.1	3050.85	9.574077e-11	0.1	3050.85	5.620879e-20	0.1
