Batch	m_SP	12	N7a_L	N1b	N1c	N1a	N_2	N3	N4	N5	N6	Flvln	Nphln	Azln																					
4.138688e-12	1.0	0.1	4.138688e-12	0.0	0.1	4.138688e-12	0.0	0.1	4.138688e-12	0.0	0.1	4.138688e-12	0.0	0.1	4.138688e-12	0.0	0.1	4.138688e-12	0.0	0.1	4.138688e-12	0.0	0.1	4.138688e-12	0.0	0.1	4.138688e-12	0.0	0.1	4.138688e-12	0.0	0.1	4.138688e-12	0.0	0.1
4.35583e-12	0.9999999900000001	0.1	4.35583e-12	0.0	0.1	4.35583e-12	0.0	0.1	4.35583e-12	0.0	0.1	4.35583e-12	0.0	0.1	4.35583e-12	0.0	0.1	4.35583e-12	0.0	0.1	4.35583e-12	0.0	0.1	4.35583e-12	0.0	0.1	4.35583e-12	0.0	0.1	4.35583e-12	0.0	0.1	4.35583e-12	0.0	0.1
4.572972e-12	1.00000003	0.1	4.572972e-12	0.0	0.1	4.572972e-12	0.0	0.1	4.572972e-12	0.0	0.1	4.572972e-12	0.0	0.1	4.572972e-12	0.0	0.1	4.572972e-12	0.0	0.1	4.572972e-12	0.0	0.1	4.572972e-12	0.0	0.1	4.572972e-12	0.0	0.1	4.572972e-12	0.0	0.1	4.572972e-12	0.0	0.1
4.790114e-12	1.0000000199999999	0.1	4.790114e-12	0.0	0.1	4.790114e-12	0.0	0.1	4.790114e-12	0.0	0.1	4.790114e-12	0.0	0.1	4.790114e-12	0.0	0.1	4.790114e-12	0.0	0.1	4.790114e-12	0.0	0.1	4.790114e-12	0.0	0.1	4.790114e-12	0.0	0.1	4.790114e-12	0.0	0.1	4.790114e-12	0.0	0.1
5.007256e-12	1.0000000199999999	0.1	5.007256e-12	0.0	0.1	5.007256e-12	0.0	0.1	5.007256e-12	0.0	0.1	5.007256e-12	0.0	0.1	5.007256e-12	0.0	0.1	5.007256e-12	0.0	0.1	5.007256e-12	0.0	0.1	5.007256e-12	0.0	0.1	5.007256e-12	0.0	0.1	5.007256e-12	0.0	0.1	5.007256e-12	0.0	0.1
5.224398e-12	0.9999999800000001	0.1	5.224398e-12	0.0	0.1	5.224398e-12	0.0	0.1	5.224398e-12	0.0	0.1	5.224398e-12	0.0	0.1	5.224398e-12	0.0	0.1	5.224398e-12	0.0	0.1	5.224398e-12	0.0	0.1	5.224398e-12	0.0	0.1	5.224398e-12	0.0	0.1	5.224398e-12	0.0	0.1	5.224398e-12	0.0	0.1
5.441541e-12	1.0	0.1	5.441541e-12	0.0	0.1	5.441541e-12	0.0	0.1	5.441541e-12	0.0	0.1	5.441541e-12	0.0	0.1	5.441541e-12	0.0	0.1	5.441541e-12	0.0	0.1	5.441541e-12	0.0	0.1	5.441541e-12	0.0	0.1	5.441541e-12	0.0	0.1	5.441541e-12	0.0	0.1	5.441541e-12	0.0	0.1
5.658683e-12	1.00000001	0.1	5.658683e-12	0.0	0.1	5.658683e-12	0.0	0.1	5.658683e-12	0.0	0.1	5.658683e-12	0.0	0.1	5.658683e-12	0.0	0.1	5.658683e-12	0.0	0.1	5.658683e-12	0.0	0.1	5.658683e-12	0.0	0.1	5.658683e-12	0.0	0.1	5.658683e-12	0.0	0.1	5.658683e-12	0.0	0.1
5.875825e-12	0.99999996	0.1	5.875825e-12	0.0	0.1	5.875825e-12	0.0	0.1	5.875825e-12	0.0	0.1	5.875825e-12	0.0	0.1	5.875825e-12	0.0	0.1	5.875825e-12	0.0	0.1	5.875825e-12	0.0	0.1	5.875825e-12	0.0	0.1	5.875825e-12	0.0	0.1	5.875825e-12	0.0	0.1	5.875825e-12	0.0	0.1
6.092967e-12	1.00000001	0.1	6.092967e-12	0.0	0.1	6.092967e-12	0.0	0.1	6.092967e-12	0.0	0.1	6.092967e-12	0.0	0.1	6.092967e-12	0.0	0.1	6.092967e-12	0.0	0.1	6.092967e-12	0.0	0.1	6.092967e-12	0.0	0.1	6.092967e-12	0.0	0.1	6.092967e-12	0.0	0.1	6.092967e-12	0.0	0.1
