Batch	m_SP	11	N1a_L	N3	N4	N5	N6	N7a	N7c	N7b	Flvln	Nphln	Azln																			
5.864314e-10	0.5347622637	0.1	5.864314e-10	0.0001060668	0.1	5.864314e-10	6.430191e-07	0.1	5.864314e-10	0.00370752	0.1	5.864314e-10	1.789411e-06	0.1	5.864314e-10	0.002726743	0.1	5.864314e-10	0.06684819	0.1	5.864314e-10	0.2978463	0.1	5.864314e-10	0.04467218	0.1	5.864314e-10	0.002305311	0.1	5.864314e-10	2.277156e-05	0.1
6.155542e-10	0.520444456	0.1	6.155542e-10	0.0001025582	0.1	6.155542e-10	6.217443e-07	0.1	6.155542e-10	0.003723657	0.1	6.155542e-10	1.730761e-06	0.1	6.155542e-10	0.002636355	0.1	6.155542e-10	0.06481693	0.1	6.155542e-10	0.3113333	0.1	6.155542e-10	0.04598269	0.1	6.155542e-10	0.002462851	0.1	6.155542e-10	2.463413e-05	0.1
6.446769e-10	0.5066275523	0.1	6.446769e-10	9.922775e-05	0.1	6.446769e-10	6.015504e-07	0.1	6.446769e-10	0.003732782	0.1	6.446769e-10	1.675067e-06	0.1	6.446769e-10	0.002550576	0.1	6.446769e-10	0.06283675	0.1	6.446769e-10	0.3243772	0.1	6.446769e-10	0.04723957	0.1	6.446769e-10	0.002620685	0.1	6.446769e-10	2.654821e-05	0.1
6.785137e-10	0.4911690537	0.1	6.785137e-10	9.556478e-05	0.1	6.785137e-10	5.793406e-07	0.1	6.785137e-10	0.003735442	0.1	6.785137e-10	1.613787e-06	0.1	6.785137e-10	0.002456254	0.1	6.785137e-10	0.0606094	0.1	6.785137e-10	0.3389944	0.1	6.785137e-10	0.04863595	0.1	6.785137e-10	0.002804088	0.1	6.785137e-10	2.883438e-05	0.1
7.13529e-10	0.47580777999999996	0.1	7.13529e-10	9.198927e-05	0.1	7.13529e-10	5.576617e-07	0.1	7.13529e-10	0.003730153	0.1	7.13529e-10	1.55394e-06	0.1	7.13529e-10	0.002364207	0.1	7.13529e-10	0.05839421	0.1	7.13529e-10	0.3535351	0.1	7.13529e-10	0.05001238	0.1	7.13529e-10	0.002993528	0.1	7.13529e-10	3.126787e-05	0.1
7.485443e-10	0.4610559996	0.1	7.485443e-10	8.861428e-05	0.1	7.485443e-10	5.37199e-07	0.1	7.485443e-10	0.003717604	0.1	7.485443e-10	1.497423e-06	0.1	7.485443e-10	0.002277342	0.1	7.485443e-10	0.05627395	0.1	7.485443e-10	0.3675068	0.1	7.485443e-10	0.05132281	0.1	7.485443e-10	0.003182253	0.1	7.485443e-10	3.376739e-05	0.1
7.835597e-10	0.4468788807	0.1	7.835597e-10	8.54233e-05	0.1	7.835597e-10	5.178524e-07	0.1	7.835597e-10	0.003698636	0.1	7.835597e-10	1.44396e-06	0.1	7.835597e-10	0.002195232	0.1	7.835597e-10	0.05424947	0.1	7.835597e-10	0.3809363	0.1	7.835597e-10	0.05257076	0.1	7.835597e-10	0.003369943	0.1	7.835597e-10	3.633024e-05	0.1
8.18575e-10	0.43324492589999997	0.1	8.18575e-10	8.240149e-05	0.1	8.18575e-10	4.995319e-07	0.1	8.18575e-10	0.003674003	0.1	8.18575e-10	1.393308e-06	0.1	8.18575e-10	0.002117491	0.1	8.18575e-10	0.05231967	0.1	8.18575e-10	0.3938502	0.1	8.18575e-10	0.05375947	0.1	8.18575e-10	0.003556316	0.1	8.18575e-10	3.895385e-05	0.1
8.605937e-10	0.4175597821	0.1	8.605937e-10	7.897993e-05	0.1	8.605937e-10	4.787883e-07	0.1	8.605937e-10	0.003637918	0.1	8.605937e-10	1.335923e-06	0.1	8.605937e-10	0.002029486	0.1	8.605937e-10	0.05012531	0.1	8.605937e-10	0.4087027	0.1	8.605937e-10	0.05511192	0.1	8.605937e-10	0.003777885	0.1	8.605937e-10	4.217902e-05	0.1
9.026124e-10	0.40256872309999997	0.1	9.026124e-10	7.576233e-05	0.1	9.026124e-10	4.592816e-07	0.1	9.026124e-10	0.003595698	0.1	9.026124e-10	1.281929e-06	0.1	9.026124e-10	0.001946745	0.1	9.026124e-10	0.04805775	0.1	9.026124e-10	0.4228927	0.1	9.026124e-10	0.05638813	0.1	9.026124e-10	0.00399684	0.1	9.026124e-10	4.548427e-05	0.1
