Batch	m_SP	7	W3	R	W4_L	P1	P2_L	P3	P4											
156.6831	0.2074196	0.1	156.6831	1.19227e-08	0.1	156.6831	6.3299611e-05	0.1	156.6831	0.3960322	0.1	156.6831	3.2437871e-06	0.1	156.6831	1.159652e-08	0.1	156.6831	5.483616e-07	0.1
176.3396	0.1767826	0.1	176.3396	1.238235e-08	0.1	176.3396	6.5740167e-05	0.1	176.3396	0.4113822	0.1	176.3396	3.368847313e-06	0.1	176.3396	1.204359e-08	0.1	176.3396	5.69502e-07	0.1
195.9961	0.1512386	0.1	195.9961	1.276558e-08	0.1	195.9961	6.777502e-05	0.1	195.9961	0.4241805	0.1	195.9961	3.473116696e-06	0.1	195.9961	1.241634e-08	0.1	195.9961	5.871281e-07	0.1
215.6525	0.1297934	0.1	215.6525	1.308733e-08	0.1	215.6525	6.9483352e-05	0.1	215.6525	0.4349252	0.1	215.6525	3.560656144e-06	0.1	215.6525	1.272928e-08	0.1	215.6525	6.01926e-07	0.1
235.309	0.1116845	0.1	235.309	1.335901e-08	0.1	235.309	7.092591700000001e-05	0.1	235.309	0.4439982	0.1	235.309	3.634575876e-06	0.1	235.309	1.299354e-08	0.1	235.309	6.144216e-07	0.1
254.9655	0.09631797	0.1	254.9655	1.358956e-08	0.1	254.9655	7.215001799999999e-05	0.1	254.9655	0.4516973	0.1	254.9655	3.697301623e-06	0.1	254.9655	1.321777e-08	0.1	254.9655	6.25025e-07	0.1
274.622	0.08322426	0.1	274.622	1.3786e-08	0.1	274.622	7.3193067e-05	0.1	274.622	0.4582576	0.1	274.622	3.7507497509999997e-06	0.1	274.622	1.340884e-08	0.1	274.622	6.3406e-07	0.1
294.2784	0.0720277	0.1	294.2784	1.395398e-08	0.1	294.2784	7.4084987e-05	0.1	294.2784	0.4638674	0.1	294.2784	3.796454355e-06	0.1	294.2784	1.357223e-08	0.1	294.2784	6.41786e-07	0.1
313.9349	0.06242444	0.1	313.9349	1.409806e-08	0.1	313.9349	7.4849988e-05	0.1	313.9349	0.4686789	0.1	313.9349	3.835654319e-06	0.1	313.9349	1.371236e-08	0.1	313.9349	6.484125e-07	0.1
333.5914	0.05416636	0.1	333.5914	1.422196e-08	0.1	333.5914	7.550783199999999e-05	0.1	333.5914	0.4728164	0.1	333.5914	3.869363366e-06	0.1	333.5914	1.383287e-08	0.1	333.5914	6.541108e-07	0.1
353.2478	0.04704921	0.1	353.2478	1.432873e-08	0.1	353.2478	7.6074793e-05	0.1	353.2478	0.4763823	0.1	353.2478	3.8984150910000004e-06	0.1	353.2478	1.393673e-08	0.1	353.2478	6.590219e-07	0.1
372.9043	0.04090357	0.1	372.9043	1.442094e-08	0.1	372.9043	7.656434200000001e-05	0.1	372.9043	0.4794614	0.1	372.9043	3.923501986e-06	0.1	372.9043	1.402641e-08	0.1	372.9043	6.632626e-07	0.1
392.5608	0.03558802	0.1	392.5608	1.450069e-08	0.1	392.5608	7.6987788e-05	0.1	392.5608	0.4821247	0.1	392.5608	3.945199465e-06	0.1	392.5608	1.410398e-08	0.1	392.5608	6.669304e-07	0.1
412.2172	0.03098384	0.1	412.2172	1.456976e-08	0.1	412.2172	7.7354557e-05	0.1	412.2172	0.4844315	0.1	412.2172	3.9639938719999994e-06	0.1	412.2172	1.417116e-08	0.1	412.2172	6.701075e-07	0.1
431.8737	0.02699088	0.1	431.8737	1.462967e-08	0.1	431.8737	7.767263599999999e-05	0.1	431.8737	0.4864321	0.1	431.8737	3.9802934999999995e-06	0.1	431.8737	1.422943e-08	0.1	431.8737	6.728627e-07	0.1
451.5302	0.02352426	0.1	451.5302	1.468168e-08	0.1	451.5302	7.794879099999999e-05	0.1	451.5302	0.488169	0.1	451.5302	3.994443594000001e-06	0.1	451.5302	1.428002e-08	0.1	451.5302	6.752548e-07	0.1
471.1866	0.0205118	0.1	471.1866	1.472687e-08	0.1	471.1866	7.818876500000001e-05	0.1	471.1866	0.4896783	0.1	471.1866	4.006740366e-06	0.1	471.1866	1.432398e-08	0.1	471.1866	6.773335e-07	0.1
490.8431	0.01789186	0.1	490.8431	1.476618e-08	0.1	490.8431	7.8397462e-05	0.1	490.8431	0.490991	0.1	490.8431	4.017434995e-06	0.1	490.8431	1.436221e-08	0.1	490.8431	6.791413e-07	0.1
510.4996	0.01561169	0.1	510.4996	1.480039e-08	0.1	510.4996	7.8579113e-05	0.1	510.4996	0.4921334	0.1	510.4996	4.0267426350000005e-06	0.1	510.4996	1.439548e-08	0.1	510.4996	6.807147e-07	0.1
530.156	0.01362601	0.1	530.156	1.483018e-08	0.1	530.156	7.873728899999999e-05	0.1	530.156	0.4931283	0.1	530.156	4.0348484170000005e-06	0.1	530.156	1.442446e-08	0.1	530.156	6.820849e-07	0.1
549.8125	0.01189585	0.1	549.8125	1.485614e-08	0.1	549.8125	7.8875113e-05	0.1	549.8125	0.4939951	0.1	549.8125	4.041910456e-06	0.1	549.8125	1.44497e-08	0.1	549.8125	6.832787e-07	0.1
569.469	0.01038764	0.1	569.469	1.487877e-08	0.1	569.469	7.899525500000001e-05	0.1	569.469	0.4947508	0.1	569.469	4.048066847e-06	0.1	569.469	1.447171e-08	0.1	569.469	6.843194e-07	0.1
