Batch	m_SP	16	T4a_L	C5H5	N1a	N1b	N1c	T1a	T1b	T1c	T1d	T1e	T1f	T2	T3	N7a	N7c	N7b																													
1.891503e-10	0.9999999000000002	0.1	1.891503e-10	0.0	0.1	1.891503e-10	0.0	0.1	1.891503e-10	0.0	0.1	1.891503e-10	0.0	0.1	1.891503e-10	0.0	0.1	1.891503e-10	0.0	0.1	1.891503e-10	0.0	0.1	1.891503e-10	0.0	0.1	1.891503e-10	0.0	0.1	1.891503e-10	0.0	0.1	1.891503e-10	0.0	0.1	1.891503e-10	0.0	0.1	1.891503e-10	0.0	0.1	1.891503e-10	0.0	0.1	1.891503e-10	0.0	0.1
2.552075e-10	0.99999999	0.1	2.552075e-10	0.0	0.1	2.552075e-10	0.0	0.1	2.552075e-10	0.0	0.1	2.552075e-10	0.0	0.1	2.552075e-10	0.0	0.1	2.552075e-10	0.0	0.1	2.552075e-10	0.0	0.1	2.552075e-10	0.0	0.1	2.552075e-10	0.0	0.1	2.552075e-10	0.0	0.1	2.552075e-10	0.0	0.1	2.552075e-10	0.0	0.1	2.552075e-10	0.0	0.1	2.552075e-10	0.0	0.1	2.552075e-10	0.0	0.1
3.291149e-10	1.00000006	0.1	3.291149e-10	0.0	0.1	3.291149e-10	0.0	0.1	3.291149e-10	0.0	0.1	3.291149e-10	0.0	0.1	3.291149e-10	0.0	0.1	3.291149e-10	0.0	0.1	3.291149e-10	0.0	0.1	3.291149e-10	0.0	0.1	3.291149e-10	0.0	0.1	3.291149e-10	0.0	0.1	3.291149e-10	0.0	0.1	3.291149e-10	0.0	0.1	3.291149e-10	0.0	0.1	3.291149e-10	0.0	0.1	3.291149e-10	0.0	0.1
4.030223e-10	1.00000006	0.1	4.030223e-10	0.0	0.1	4.030223e-10	0.0	0.1	4.030223e-10	0.0	0.1	4.030223e-10	0.0	0.1	4.030223e-10	0.0	0.1	4.030223e-10	0.0	0.1	4.030223e-10	0.0	0.1	4.030223e-10	0.0	0.1	4.030223e-10	0.0	0.1	4.030223e-10	0.0	0.1	4.030223e-10	0.0	0.1	4.030223e-10	0.0	0.1	4.030223e-10	0.0	0.1	4.030223e-10	0.0	0.1	4.030223e-10	0.0	0.1
4.769297e-10	1.00000001	0.1	4.769297e-10	0.0	0.1	4.769297e-10	0.0	0.1	4.769297e-10	0.0	0.1	4.769297e-10	0.0	0.1	4.769297e-10	0.0	0.1	4.769297e-10	0.0	0.1	4.769297e-10	0.0	0.1	4.769297e-10	0.0	0.1	4.769297e-10	0.0	0.1	4.769297e-10	0.0	0.1	4.769297e-10	0.0	0.1	4.769297e-10	0.0	0.1	4.769297e-10	0.0	0.1	4.769297e-10	0.0	0.1	4.769297e-10	0.0	0.1
5.508371e-10	1.00000015	0.1	5.508371e-10	0.0	0.1	5.508371e-10	0.0	0.1	5.508371e-10	0.0	0.1	5.508371e-10	0.0	0.1	5.508371e-10	0.0	0.1	5.508371e-10	0.0	0.1	5.508371e-10	0.0	0.1	5.508371e-10	0.0	0.1	5.508371e-10	0.0	0.1	5.508371e-10	0.0	0.1	5.508371e-10	0.0	0.1	5.508371e-10	0.0	0.1	5.508371e-10	0.0	0.1	5.508371e-10	0.0	0.1	5.508371e-10	0.0	0.1
6.308486e-10	0.9999999900000001	0.1	6.308486e-10	0.0	0.1	6.308486e-10	0.0	0.1	6.308486e-10	0.0	0.1	6.308486e-10	0.0	0.1	6.308486e-10	0.0	0.1	6.308486e-10	0.0	0.1	6.308486e-10	0.0	0.1	6.308486e-10	0.0	0.1	6.308486e-10	0.0	0.1	6.308486e-10	0.0	0.1	6.308486e-10	0.0	0.1	6.308486e-10	0.0	0.1	6.308486e-10	0.0	0.1	6.308486e-10	0.0	0.1	6.308486e-10	0.0	0.1
7.200162e-10	0.99999999	0.1	7.200162e-10	0.0	0.1	7.200162e-10	0.0	0.1	7.200162e-10	0.0	0.1	7.200162e-10	0.0	0.1	7.200162e-10	0.0	0.1	7.200162e-10	0.0	0.1	7.200162e-10	0.0	0.1	7.200162e-10	0.0	0.1	7.200162e-10	0.0	0.1	7.200162e-10	0.0	0.1	7.200162e-10	0.0	0.1	7.200162e-10	0.0	0.1	7.200162e-10	0.0	0.1	7.200162e-10	0.0	0.1	7.200162e-10	0.0	0.1
8.091838e-10	1.00000011	0.1	8.091838e-10	0.0	0.1	8.091838e-10	0.0	0.1	8.091838e-10	0.0	0.1	8.091838e-10	0.0	0.1	8.091838e-10	0.0	0.1	8.091838e-10	0.0	0.1	8.091838e-10	0.0	0.1	8.091838e-10	0.0	0.1	8.091838e-10	0.0	0.1	8.091838e-10	0.0	0.1	8.091838e-10	0.0	0.1	8.091838e-10	0.0	0.1	8.091838e-10	0.0	0.1	8.091838e-10	0.0	0.1	8.091838e-10	0.0	0.1
8.983514e-10	1.00000004	0.1	8.983514e-10	0.0	0.1	8.983514e-10	0.0	0.1	8.983514e-10	0.0	0.1	8.983514e-10	0.0	0.1	8.983514e-10	0.0	0.1	8.983514e-10	0.0	0.1	8.983514e-10	0.0	0.1	8.983514e-10	0.0	0.1	8.983514e-10	0.0	0.1	8.983514e-10	0.0	0.1	8.983514e-10	0.0	0.1	8.983514e-10	0.0	0.1	8.983514e-10	0.0	0.1	8.983514e-10	0.0	0.1	8.983514e-10	0.0	0.1
9.875191e-10	0.9999999799999999	0.1	9.875191e-10	0.0	0.1	9.875191e-10	0.0	0.1	9.875191e-10	0.0	0.1	9.875191e-10	0.0	0.1	9.875191e-10	0.0	0.1	9.875191e-10	0.0	0.1	9.875191e-10	0.0	0.1	9.875191e-10	0.0	0.1	9.875191e-10	0.0	0.1	9.875191e-10	0.0	0.1	9.875191e-10	0.0	0.1	9.875191e-10	0.0	0.1	9.875191e-10	0.0	0.1	9.875191e-10	0.0	0.1	9.875191e-10	0.0	0.1
1.076687e-09	0.99999999	0.1	1.076687e-09	0.0	0.1	1.076687e-09	0.0	0.1	1.076687e-09	0.0	0.1	1.076687e-09	0.0	0.1	1.076687e-09	0.0	0.1	1.076687e-09	0.0	0.1	1.076687e-09	0.0	0.1	1.076687e-09	0.0	0.1	1.076687e-09	0.0	0.1	1.076687e-09	0.0	0.1	1.076687e-09	0.0	0.1	1.076687e-09	0.0	0.1	1.076687e-09	0.0	0.1	1.076687e-09	0.0	0.1	1.076687e-09	0.0	0.1
1.176888e-09	1.00000008	0.1	1.176888e-09	0.0	0.1	1.176888e-09	0.0	0.1	1.176888e-09	0.0	0.1	1.176888e-09	0.0	0.1	1.176888e-09	0.0	0.1	1.176888e-09	0.0	0.1	1.176888e-09	0.0	0.1	1.176888e-09	0.0	0.1	1.176888e-09	0.0	0.1	1.176888e-09	0.0	0.1	1.176888e-09	0.0	0.1	1.176888e-09	0.0	0.1	1.176888e-09	0.0	0.1	1.176888e-09	0.0	0.1	1.176888e-09	0.0	0.1
1.284444e-09	0.99999999	0.1	1.284444e-09	0.0	0.1	1.284444e-09	0.0	0.1	1.284444e-09	0.0	0.1	1.284444e-09	0.0	0.1	1.284444e-09	0.0	0.1	1.284444e-09	0.0	0.1	1.284444e-09	0.0	0.1	1.284444e-09	0.0	0.1	1.284444e-09	0.0	0.1	1.284444e-09	0.0	0.1	1.284444e-09	0.0	0.1	1.284444e-09	0.0	0.1	1.284444e-09	0.0	0.1	1.284444e-09	0.0	0.1	1.284444e-09	0.0	0.1
1.392001e-09	1.00000003	0.1	1.392001e-09	0.0	0.1	1.392001e-09	0.0	0.1	1.392001e-09	0.0	0.1	1.392001e-09	0.0	0.1	1.392001e-09	0.0	0.1	1.392001e-09	0.0	0.1	1.392001e-09	0.0	0.1	1.392001e-09	0.0	0.1	1.392001e-09	0.0	0.1	1.392001e-09	0.0	0.1	1.392001e-09	0.0	0.1	1.392001e-09	0.0	0.1	1.392001e-09	0.0	0.1	1.392001e-09	0.0	0.1	1.392001e-09	0.0	0.1
1.499557e-09	0.9999999500000001	0.1	1.499557e-09	0.0	0.1	1.499557e-09	0.0	0.1	1.499557e-09	0.0	0.1	1.499557e-09	0.0	0.1	1.499557e-09	0.0	0.1	1.499557e-09	0.0	0.1	1.499557e-09	0.0	0.1	1.499557e-09	0.0	0.1	1.499557e-09	0.0	0.1	1.499557e-09	0.0	0.1	1.499557e-09	0.0	0.1	1.499557e-09	0.0	0.1	1.499557e-09	0.0	0.1	1.499557e-09	0.0	0.1	1.499557e-09	0.0	0.1
1.607114e-09	0.99999998	0.1	1.607114e-09	0.0	0.1	1.607114e-09	0.0	0.1	1.607114e-09	0.0	0.1	1.607114e-09	0.0	0.1	1.607114e-09	0.0	0.1	1.607114e-09	0.0	0.1	1.607114e-09	0.0	0.1	1.607114e-09	0.0	0.1	1.607114e-09	0.0	0.1	1.607114e-09	0.0	0.1	1.607114e-09	0.0	0.1	1.607114e-09	0.0	0.1	1.607114e-09	0.0	0.1	1.607114e-09	0.0	0.1	1.607114e-09	0.0	0.1
1.723357e-09	0.99999994	0.1	1.723357e-09	0.0	0.1	1.723357e-09	0.0	0.1	1.723357e-09	0.0	0.1	1.723357e-09	0.0	0.1	1.723357e-09	0.0	0.1	1.723357e-09	0.0	0.1	1.723357e-09	0.0	0.1	1.723357e-09	0.0	0.1	1.723357e-09	0.0	0.1	1.723357e-09	0.0	0.1	1.723357e-09	0.0	0.1	1.723357e-09	0.0	0.1	1.723357e-09	0.0	0.1	1.723357e-09	0.0	0.1	1.723357e-09	0.0	0.1
1.852631e-09	0.9999999700000001	0.1	1.852631e-09	0.0	0.1	1.852631e-09	0.0	0.1	1.852631e-09	0.0	0.1	1.852631e-09	0.0	0.1	1.852631e-09	0.0	0.1	1.852631e-09	0.0	0.1	1.852631e-09	0.0	0.1	1.852631e-09	0.0	0.1	1.852631e-09	0.0	0.1	1.852631e-09	0.0	0.1	1.852631e-09	0.0	0.1	1.852631e-09	0.0	0.1	1.852631e-09	0.0	0.1	1.852631e-09	0.0	0.1	1.852631e-09	0.0	0.1
1.981904e-09	0.9999999700000001	0.1	1.981904e-09	0.0	0.1	1.981904e-09	0.0	0.1	1.981904e-09	0.0	0.1	1.981904e-09	0.0	0.1	1.981904e-09	0.0	0.1	1.981904e-09	0.0	0.1	1.981904e-09	0.0	0.1	1.981904e-09	0.0	0.1	1.981904e-09	0.0	0.1	1.981904e-09	0.0	0.1	1.981904e-09	0.0	0.1	1.981904e-09	0.0	0.1	1.981904e-09	0.0	0.1	1.981904e-09	0.0	0.1	1.981904e-09	0.0	0.1
2.111177e-09	0.9999998899999999	0.1	2.111177e-09	0.0	0.1	2.111177e-09	0.0	0.1	2.111177e-09	0.0	0.1	2.111177e-09	0.0	0.1	2.111177e-09	0.0	0.1	2.111177e-09	0.0	0.1	2.111177e-09	0.0	0.1	2.111177e-09	0.0	0.1	2.111177e-09	0.0	0.1	2.111177e-09	0.0	0.1	2.111177e-09	0.0	0.1	2.111177e-09	0.0	0.1	2.111177e-09	0.0	0.1	2.111177e-09	0.0	0.1	2.111177e-09	0.0	0.1
2.240451e-09	1.00000004	0.1	2.240451e-09	0.0	0.1	2.240451e-09	0.0	0.1	2.240451e-09	0.0	0.1	2.240451e-09	0.0	0.1	2.240451e-09	0.0	0.1	2.240451e-09	0.0	0.1	2.240451e-09	0.0	0.1	2.240451e-09	0.0	0.1	2.240451e-09	0.0	0.1	2.240451e-09	0.0	0.1	2.240451e-09	0.0	0.1	2.240451e-09	0.0	0.1	2.240451e-09	0.0	0.1	2.240451e-09	0.0	0.1	2.240451e-09	0.0	0.1
2.385922e-09	0.9999999200000002	0.1	2.385922e-09	0.0	0.1	2.385922e-09	0.0	0.1	2.385922e-09	0.0	0.1	2.385922e-09	0.0	0.1	2.385922e-09	0.0	0.1	2.385922e-09	0.0	0.1	2.385922e-09	0.0	0.1	2.385922e-09	0.0	0.1	2.385922e-09	0.0	0.1	2.385922e-09	0.0	0.1	2.385922e-09	0.0	0.1	2.385922e-09	0.0	0.1	2.385922e-09	0.0	0.1	2.385922e-09	0.0	0.1	2.385922e-09	0.0	0.1
2.542191e-09	1.0000000100000002	0.1	2.542191e-09	0.0	0.1	2.542191e-09	0.0	0.1	2.542191e-09	0.0	0.1	2.542191e-09	0.0	0.1	2.542191e-09	0.0	0.1	2.542191e-09	0.0	0.1	2.542191e-09	0.0	0.1	2.542191e-09	0.0	0.1	2.542191e-09	0.0	0.1	2.542191e-09	0.0	0.1	2.542191e-09	0.0	0.1	2.542191e-09	0.0	0.1	2.542191e-09	0.0	0.1	2.542191e-09	0.0	0.1	2.542191e-09	0.0	0.1
2.698461e-09	0.99999989	0.1	2.698461e-09	0.0	0.1	2.698461e-09	0.0	0.1	2.698461e-09	0.0	0.1	2.698461e-09	0.0	0.1	2.698461e-09	0.0	0.1	2.698461e-09	0.0	0.1	2.698461e-09	0.0	0.1	2.698461e-09	0.0	0.1	2.698461e-09	0.0	0.1	2.698461e-09	0.0	0.1	2.698461e-09	0.0	0.1	2.698461e-09	0.0	0.1	2.698461e-09	0.0	0.1	2.698461e-09	0.0	0.1	2.698461e-09	0.0	0.1
2.854731e-09	0.9999999599999999	0.1	2.854731e-09	0.0	0.1	2.854731e-09	0.0	0.1	2.854731e-09	0.0	0.1	2.854731e-09	0.0	0.1	2.854731e-09	0.0	0.1	2.854731e-09	0.0	0.1	2.854731e-09	0.0	0.1	2.854731e-09	0.0	0.1	2.854731e-09	0.0	0.1	2.854731e-09	0.0	0.1	2.854731e-09	0.0	0.1	2.854731e-09	0.0	0.1	2.854731e-09	0.0	0.1	2.854731e-09	0.0	0.1	2.854731e-09	0.0	0.1
3.023827e-09	1.00000008	0.1	3.023827e-09	0.0	0.1	3.023827e-09	0.0	0.1	3.023827e-09	0.0	0.1	3.023827e-09	0.0	0.1	3.023827e-09	0.0	0.1	3.023827e-09	0.0	0.1	3.023827e-09	0.0	0.1	3.023827e-09	0.0	0.1	3.023827e-09	0.0	0.1	3.023827e-09	0.0	0.1	3.023827e-09	0.0	0.1	3.023827e-09	0.0	0.1	3.023827e-09	0.0	0.1	3.023827e-09	0.0	0.1	3.023827e-09	0.0	0.1
3.212162e-09	0.99999989	0.1	3.212162e-09	0.0	0.1	3.212162e-09	0.0	0.1	3.212162e-09	0.0	0.1	3.212162e-09	0.0	0.1	3.212162e-09	0.0	0.1	3.212162e-09	0.0	0.1	3.212162e-09	0.0	0.1	3.212162e-09	0.0	0.1	3.212162e-09	0.0	0.1	3.212162e-09	0.0	0.1	3.212162e-09	0.0	0.1	3.212162e-09	0.0	0.1	3.212162e-09	0.0	0.1	3.212162e-09	0.0	0.1	3.212162e-09	0.0	0.1
3.400497e-09	1.0000000100000002	0.1	3.400497e-09	0.0	0.1	3.400497e-09	0.0	0.1	3.400497e-09	0.0	0.1	3.400497e-09	0.0	0.1	3.400497e-09	0.0	0.1	3.400497e-09	0.0	0.1	3.400497e-09	0.0	0.1	3.400497e-09	0.0	0.1	3.400497e-09	0.0	0.1	3.400497e-09	0.0	0.1	3.400497e-09	0.0	0.1	3.400497e-09	0.0	0.1	3.400497e-09	0.0	0.1	3.400497e-09	0.0	0.1	3.400497e-09	0.0	0.1
3.588832e-09	1.00000003	0.1	3.588832e-09	0.0	0.1	3.588832e-09	0.0	0.1	3.588832e-09	0.0	0.1	3.588832e-09	0.0	0.1	3.588832e-09	0.0	0.1	3.588832e-09	0.0	0.1	3.588832e-09	0.0	0.1	3.588832e-09	0.0	0.1	3.588832e-09	0.0	0.1	3.588832e-09	0.0	0.1	3.588832e-09	0.0	0.1	3.588832e-09	0.0	0.1	3.588832e-09	0.0	0.1	3.588832e-09	0.0	0.1	3.588832e-09	0.0	0.1
3.800736e-09	0.9999998199999999	0.1	3.800736e-09	0.0	0.1	3.800736e-09	0.0	0.1	3.800736e-09	0.0	0.1	3.800736e-09	0.0	0.1	3.800736e-09	0.0	0.1	3.800736e-09	0.0	0.1	3.800736e-09	0.0	0.1	3.800736e-09	0.0	0.1	3.800736e-09	0.0	0.1	3.800736e-09	0.0	0.1	3.800736e-09	0.0	0.1	3.800736e-09	0.0	0.1	3.800736e-09	0.0	0.1	3.800736e-09	0.0	0.1	3.800736e-09	0.0	0.1
4.028352e-09	0.9999999699999998	0.1	4.028352e-09	0.0	0.1	4.028352e-09	0.0	0.1	4.028352e-09	0.0	0.1	4.028352e-09	0.0	0.1	4.028352e-09	0.0	0.1	4.028352e-09	0.0	0.1	4.028352e-09	0.0	0.1	4.028352e-09	0.0	0.1	4.028352e-09	0.0	0.1	4.028352e-09	0.0	0.1	4.028352e-09	0.0	0.1	4.028352e-09	0.0	0.1	4.028352e-09	0.0	0.1	4.028352e-09	0.0	0.1	4.028352e-09	0.0	0.1
4.255967e-09	1.0000000199999999	0.1	4.255967e-09	0.0	0.1	4.255967e-09	0.0	0.1	4.255967e-09	0.0	0.1	4.255967e-09	0.0	0.1	4.255967e-09	0.0	0.1	4.255967e-09	0.0	0.1	4.255967e-09	0.0	0.1	4.255967e-09	0.0	0.1	4.255967e-09	0.0	0.1	4.255967e-09	0.0	0.1	4.255967e-09	0.0	0.1	4.255967e-09	0.0	0.1	4.255967e-09	0.0	0.1	4.255967e-09	0.0	0.1	4.255967e-09	0.0	0.1
4.493161e-09	0.9999999900000001	0.1	4.493161e-09	0.0	0.1	4.493161e-09	0.0	0.1	4.493161e-09	0.0	0.1	4.493161e-09	0.0	0.1	4.493161e-09	0.0	0.1	4.493161e-09	0.0	0.1	4.493161e-09	0.0	0.1	4.493161e-09	0.0	0.1	4.493161e-09	0.0	0.1	4.493161e-09	0.0	0.1	4.493161e-09	0.0	0.1	4.493161e-09	0.0	0.1	4.493161e-09	0.0	0.1	4.493161e-09	0.0	0.1	4.493161e-09	0.0	0.1
4.768665e-09	1.00000004	0.1	4.768665e-09	0.0	0.1	4.768665e-09	0.0	0.1	4.768665e-09	0.0	0.1	4.768665e-09	0.0	0.1	4.768665e-09	0.0	0.1	4.768665e-09	0.0	0.1	4.768665e-09	0.0	0.1	4.768665e-09	0.0	0.1	4.768665e-09	0.0	0.1	4.768665e-09	0.0	0.1	4.768665e-09	0.0	0.1	4.768665e-09	0.0	0.1	4.768665e-09	0.0	0.1	4.768665e-09	0.0	0.1	4.768665e-09	0.0	0.1
5.044169e-09	0.99999994	0.1	5.044169e-09	0.0	0.1	5.044169e-09	0.0	0.1	5.044169e-09	0.0	0.1	5.044169e-09	0.0	0.1	5.044169e-09	0.0	0.1	5.044169e-09	0.0	0.1	5.044169e-09	0.0	0.1	5.044169e-09	0.0	0.1	5.044169e-09	0.0	0.1	5.044169e-09	0.0	0.1	5.044169e-09	0.0	0.1	5.044169e-09	0.0	0.1	5.044169e-09	0.0	0.1	5.044169e-09	0.0	0.1	5.044169e-09	0.0	0.1
5.331211e-09	1.00000008	0.1	5.331211e-09	0.0	0.1	5.331211e-09	0.0	0.1	5.331211e-09	0.0	0.1	5.331211e-09	0.0	0.1	5.331211e-09	0.0	0.1	5.331211e-09	0.0	0.1	5.331211e-09	0.0	0.1	5.331211e-09	0.0	0.1	5.331211e-09	0.0	0.1	5.331211e-09	0.0	0.1	5.331211e-09	0.0	0.1	5.331211e-09	0.0	0.1	5.331211e-09	0.0	0.1	5.331211e-09	0.0	0.1	5.331211e-09	0.0	0.1
5.664404e-09	1.0000000199999999	0.1	5.664404e-09	0.0	0.1	5.664404e-09	0.0	0.1	5.664404e-09	0.0	0.1	5.664404e-09	0.0	0.1	5.664404e-09	0.0	0.1	5.664404e-09	0.0	0.1	5.664404e-09	0.0	0.1	5.664404e-09	0.0	0.1	5.664404e-09	0.0	0.1	5.664404e-09	0.0	0.1	5.664404e-09	0.0	0.1	5.664404e-09	0.0	0.1	5.664404e-09	0.0	0.1	5.664404e-09	0.0	0.1	5.664404e-09	0.0	0.1
5.997597e-09	0.99999991	0.1	5.997597e-09	0.0	0.1	5.997597e-09	0.0	0.1	5.997597e-09	0.0	0.1	5.997597e-09	0.0	0.1	5.997597e-09	0.0	0.1	5.997597e-09	0.0	0.1	5.997597e-09	0.0	0.1	5.997597e-09	0.0	0.1	5.997597e-09	0.0	0.1	5.997597e-09	0.0	0.1	5.997597e-09	0.0	0.1	5.997597e-09	0.0	0.1	5.997597e-09	0.0	0.1	5.997597e-09	0.0	0.1	5.997597e-09	0.0	0.1
6.359439e-09	1.00000005	0.1	6.359439e-09	0.0	0.1	6.359439e-09	0.0	0.1	6.359439e-09	0.0	0.1	6.359439e-09	0.0	0.1	6.359439e-09	0.0	0.1	6.359439e-09	0.0	0.1	6.359439e-09	0.0	0.1	6.359439e-09	0.0	0.1	6.359439e-09	0.0	0.1	6.359439e-09	0.0	0.1	6.359439e-09	0.0	0.1	6.359439e-09	0.0	0.1	6.359439e-09	0.0	0.1	6.359439e-09	0.0	0.1	6.359439e-09	0.0	0.1
6.764254e-09	0.9999999900000002	0.1	6.764254e-09	0.0	0.1	6.764254e-09	0.0	0.1	6.764254e-09	0.0	0.1	6.764254e-09	0.0	0.1	6.764254e-09	0.0	0.1	6.764254e-09	0.0	0.1	6.764254e-09	0.0	0.1	6.764254e-09	0.0	0.1	6.764254e-09	0.0	0.1	6.764254e-09	0.0	0.1	6.764254e-09	0.0	0.1	6.764254e-09	0.0	0.1	6.764254e-09	0.0	0.1	6.764254e-09	0.0	0.1	6.764254e-09	0.0	0.1
7.16907e-09	1.0000000299999998	0.1	7.16907e-09	0.0	0.1	7.16907e-09	0.0	0.1	7.16907e-09	0.0	0.1	7.16907e-09	0.0	0.1	7.16907e-09	0.0	0.1	7.16907e-09	0.0	0.1	7.16907e-09	0.0	0.1	7.16907e-09	0.0	0.1	7.16907e-09	0.0	0.1	7.16907e-09	0.0	0.1	7.16907e-09	0.0	0.1	7.16907e-09	0.0	0.1	7.16907e-09	0.0	0.1	7.16907e-09	0.0	0.1	7.16907e-09	0.0	0.1
