Batch	m_SP	5	W1	W2	Pr1	Pr2	Pr3							
2.042495e+22	0.9896232	0.1	2.042495e+22	2.228436e-15	0.1	2.042495e+22	3.204536e-07	0.1	2.042495e+22	0.005188081	0.1	2.042495e+22	0.0	0.1
2.044446e+22	0.9896134	0.1	2.044446e+22	2.228414e-15	0.1	2.044446e+22	3.204512e-07	0.1	2.044446e+22	0.005192998	0.1	2.044446e+22	8.591759e-20	0.1
2.048998e+22	0.9895904	0.1	2.048998e+22	2.228362e-15	0.1	2.048998e+22	3.204457e-07	0.1	2.048998e+22	0.005204469	0.1	2.048998e+22	0.0	0.1
2.059402e+22	0.989538	0.1	2.059402e+22	2.228244e-15	0.1	2.059402e+22	3.204329e-07	0.1	2.059402e+22	0.005230688	0.1	2.059402e+22	4.299552e-20	0.1
2.082811e+22	0.98942	0.1	2.082811e+22	2.227978e-15	0.1	2.082811e+22	3.204043e-07	0.1	2.082811e+22	0.005289673	0.1	2.082811e+22	0.0	0.1
2.124427e+22	0.9892103	0.1	2.124427e+22	2.905991e-15	0.1	2.124427e+22	3.203535e-07	0.1	2.124427e+22	0.005394509	0.1	2.124427e+22	0.0	0.1
2.124427e+22	0.9892103	0.1	2.124427e+22	2.512466e-15	0.1	2.124427e+22	3.203535e-07	0.1	2.124427e+22	0.005394509	0.1	2.124427e+22	0.0	0.1
2.124427e+22	0.9892103	0.1	2.124427e+22	2.565737e-15	0.1	2.124427e+22	3.203535e-07	0.1	2.124427e+22	0.005394509	0.1	2.124427e+22	0.0	0.1
2.124427e+22	0.9892103	0.1	2.124427e+22	2.576614e-15	0.1	2.124427e+22	3.203535e-07	0.1	2.124427e+22	0.005394509	0.1	2.124427e+22	0.0	0.1
2.124427e+22	0.9892103	0.1	2.124427e+22	2.585243e-15	0.1	2.124427e+22	3.203535e-07	0.1	2.124427e+22	0.005394509	0.1	2.124427e+22	0.0	0.1
2.124427e+22	0.9892103	0.1	2.124427e+22	2.227505e-15	0.1	2.124427e+22	3.203535e-07	0.1	2.124427e+22	0.005394509	0.1	2.124427e+22	0.0	0.1
2.124427e+22	0.9892103	0.1	2.124427e+22	2.227506e-15	0.1	2.124427e+22	3.203535e-07	0.1	2.124427e+22	0.005394509	0.1	2.124427e+22	4.900076e-30	0.1
2.124427e+22	0.9892103	0.1	2.124427e+22	2.227506e-15	0.1	2.124427e+22	3.203535e-07	0.1	2.124427e+22	0.005394509	0.1	2.124427e+22	2.867053e-29	0.1
2.124427e+22	0.9892103	0.1	2.124427e+22	2.227506e-15	0.1	2.124427e+22	3.203535e-07	0.1	2.124427e+22	0.005394509	0.1	2.124427e+22	1.556025e-28	0.1
2.124427e+22	0.9892103	0.1	2.124427e+22	2.227506e-15	0.1	2.124427e+22	3.203535e-07	0.1	2.124427e+22	0.005394509	0.1	2.124427e+22	7.113401e-28	0.1
2.124427e+22	0.9892103	0.1	2.124427e+22	2.227506e-15	0.1	2.124427e+22	3.203535e-07	0.1	2.124427e+22	0.005394509	0.1	2.124427e+22	2.570645e-27	0.1
2.124427e+22	0.9892103	0.1	2.124427e+22	2.227506e-15	0.1	2.124427e+22	3.203535e-07	0.1	2.124427e+22	0.005394509	0.1	2.124427e+22	8.075527e-27	0.1
2.124427e+22	0.9892103	0.1	2.124427e+22	2.227506e-15	0.1	2.124427e+22	3.203535e-07	0.1	2.124427e+22	0.00539451	0.1	2.124427e+22	2.745409e-26	0.1
2.124428e+22	0.9892103	0.1	2.124428e+22	2.227506e-15	0.1	2.124428e+22	3.203535e-07	0.1	2.124428e+22	0.005394512	0.1	2.124428e+22	8.847085e-26	0.1
