Batch	m_SP	7	W4_L	W3	R	P1	P2_L	P3	P4											
2.468784e-08	0.6228823	0.1	2.468784e-08	0.000656058	0.1	2.468784e-08	0.02665321	0.1	2.468784e-08	0.1342302	0.1	2.468784e-08	0.020035227000000003	0.1	2.468784e-08	0.00624516	0.1	2.468784e-08	0.0002609262	0.1
2.628994e-08	0.6076647	0.1	2.628994e-08	0.000691592	0.1	2.628994e-08	0.02668842	0.1	2.628994e-08	0.1421247	0.1	2.628994e-08	0.019761204999999997	0.1	2.628994e-08	0.006170966	0.1	2.628994e-08	0.0002791673	0.1
2.789204e-08	0.5930286	0.1	2.789204e-08	0.0007260033	0.1	2.789204e-08	0.02664402	0.1	2.789204e-08	0.1498108	0.1	2.789204e-08	0.01948769	0.1	2.789204e-08	0.006094912	0.1	2.789204e-08	0.0002971303	0.1
2.983472e-08	0.5760022	0.1	2.983472e-08	0.0007662519	0.1	2.983472e-08	0.02650659	0.1	2.983472e-08	0.1588552	0.1	2.983472e-08	0.019157908	0.1	2.983472e-08	0.006000989	0.1	2.983472e-08	0.0003185179	0.1
3.17774e-08	0.5597063	0.1	3.17774e-08	0.000804919	0.1	3.17774e-08	0.0262994	0.1	3.17774e-08	0.1676034	0.1	3.17774e-08	0.018831419000000002	0.1	3.17774e-08	0.005906042	0.1	3.17774e-08	0.0003394564	0.1
3.372007e-08	0.5440856	0.1	3.372007e-08	0.0008420504	0.1	3.372007e-08	0.02604087	0.1	3.372007e-08	0.1760626	0.1	3.372007e-08	0.018509355999999998	0.1	3.372007e-08	0.005810832	0.1	3.372007e-08	0.0003599341	0.1
3.566275e-08	0.5290919	0.1	3.566275e-08	0.0008776961	0.1	3.566275e-08	0.02574529	0.1	3.566275e-08	0.1842409	0.1	3.566275e-08	0.018192601	0.1	3.566275e-08	0.005715981	0.1	3.566275e-08	0.0003799457	0.1
3.760543e-08	0.514683	0.1	3.760543e-08	0.0009119088	0.1	3.760543e-08	0.02542369	0.1	3.760543e-08	0.192147	0.1	3.760543e-08	0.017881849	0.1	3.760543e-08	0.00562198	0.1	3.760543e-08	0.0003994901	0.1
3.954811e-08	0.5008218	0.1	3.954811e-08	0.0009447426	0.1	3.954811e-08	0.02508453	0.1	3.954811e-08	0.1997902	0.1	3.954811e-08	0.017577567	0.1	3.954811e-08	0.005529201	0.1	3.954811e-08	0.0004185703	0.1
4.188005e-08	0.4848601	0.1	4.188005e-08	0.0009824119	0.1	4.188005e-08	0.02466322	0.1	4.188005e-08	0.2086308	0.1	4.188005e-08	0.017221313999999998	0.1	4.188005e-08	0.00541983	0.1	4.188005e-08	0.0004408684	0.1
4.4212e-08	0.4695893	0.1	4.4212e-08	0.001018268	0.1	4.4212e-08	0.02423413	0.1	4.4212e-08	0.2171223	0.1	4.4212e-08	0.016875148	0.1	4.4212e-08	0.005312947	0.1	4.4212e-08	0.000462519	0.1
