t[s](1)             T0[K](2)            P0[Pa](3)           V0[m3](4)           T[K](5)             P[Pa](6)            V[m3](7)            rho[kg/m3](8)       MW[kg/kmol](9)      W1_x(10)        W2_x(11)        W3_x(12)        W4_x(13)        W5_x(14)        W6_x(15)        R_x(16)         P1_x(17)        P2_x(18)        P3_x(19)        P4_x(20)        P5_x(21)        P6_x(22)        H_x(23)         W1_w(24)        W2_w(25)        W3_w(26)        W4_w(27)        W5_w(28)        W6_w(29)        R_w(30)         P1_w(31)        P2_w(32)        P3_w(33)        P4_w(34)        P5_w(35)        P6_w(36)        H_w(37)         
1.207114e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        3.941596e-07    1.037003e-11    1.017345e-10    3.597566e-06    5.651914e-06    2.034689e-09    6.339973e-09    3.985828e-08    4.521531e-08    2.615886e-07    3.533675e-14    1.307312e-09    2.487261e-17    9.999900e-01    3.207866e-05    8.439643e-10    8.279654e-09    2.927877e-04    4.599807e-04    1.655931e-07    5.096435e-07    3.204038e-06    3.634667e-06    2.102800e-05    2.840571e-12    1.050893e-07    1.999404e-15    9.991865e-01    
1.315905e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        3.971232e-07    1.044800e-11    1.024994e-10    3.624616e-06    5.694410e-06    2.049987e-09    6.387642e-09    4.015797e-08    4.555528e-08    1.883677e-07    3.560244e-14    1.317142e-09    2.206078e-17    9.999900e-01    3.231985e-05    8.503098e-10    8.341906e-09    2.949891e-04    4.634392e-04    1.668381e-07    5.134754e-07    3.228128e-06    3.661995e-06    1.514208e-05    2.861929e-12    1.058794e-07    1.773373e-15    9.991864e-01    
1.441531e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        3.995292e-07    1.051130e-11    1.031204e-10    3.646576e-06    5.728911e-06    2.062408e-09    6.426343e-09    4.040127e-08    4.583128e-08    1.289218e-07    3.581815e-14    1.325122e-09    1.909789e-17    9.999900e-01    3.251566e-05    8.554615e-10    8.392447e-09    2.967764e-04    4.662470e-04    1.678489e-07    5.165863e-07    3.247686e-06    3.684182e-06    1.036347e-05    2.879268e-12    1.065209e-07    1.535198e-15    9.991863e-01    
1.567157e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.011760e-07    1.055462e-11    1.035454e-10    3.661606e-06    5.752523e-06    2.070908e-09    6.452831e-09    4.056780e-08    4.602019e-08    8.823608e-08    3.596578e-14    1.330584e-09    1.645423e-17    9.999900e-01    3.264968e-05    8.589873e-10    8.427038e-09    2.979996e-04    4.681687e-04    1.685407e-07    5.187155e-07    3.261072e-06    3.699367e-06    7.092923e-06    2.891136e-12    1.069600e-07    1.322685e-15    9.991863e-01    
1.697867e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.023403e-07    1.058525e-11    1.038459e-10    3.672233e-06    5.769218e-06    2.076919e-09    6.471558e-09    4.068553e-08    4.615375e-08    5.947049e-08    3.607016e-14    1.334445e-09    1.403592e-17    9.999900e-01    3.274443e-05    8.614802e-10    8.451494e-09    2.988644e-04    4.695274e-04    1.690299e-07    5.202209e-07    3.270536e-06    3.710103e-06    4.780579e-06    2.899526e-12    1.072704e-07    1.128288e-15    9.991862e-01    
1.848912e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.032216e-07    1.060844e-11    1.040734e-10    3.680277e-06    5.781855e-06    2.081468e-09    6.485733e-09    4.077465e-08    4.625484e-08    3.769632e-08    3.614917e-14    1.337368e-09    1.163557e-17    9.999900e-01    3.281616e-05    8.633671e-10    8.470007e-09    2.995191e-04    4.705559e-04    1.694001e-07    5.213604e-07    3.277700e-06    3.718229e-06    3.030246e-06    2.905877e-12    1.075053e-07    9.353340e-16    9.991862e-01    
1.999958e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.037802e-07    1.062314e-11    1.042176e-10    3.685375e-06    5.789866e-06    2.084352e-09    6.494719e-09    4.083114e-08    4.631893e-08    2.389442e-08    3.619925e-14    1.339221e-09    9.615266e-18    9.999900e-01    3.286162e-05    8.645632e-10    8.481741e-09    2.999340e-04    4.712078e-04    1.696348e-07    5.220827e-07    3.282241e-06    3.723381e-06    1.920770e-06    2.909903e-12    1.076543e-07    7.729302e-16    9.991862e-01    
2.169613e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.041678e-07    1.063333e-11    1.043176e-10    3.688913e-06    5.795423e-06    2.086352e-09    6.500953e-09    4.087033e-08    4.636339e-08    1.431854e-08    3.623400e-14    1.340507e-09    7.739278e-18    9.999900e-01    3.289317e-05    8.653930e-10    8.489883e-09    3.002219e-04    4.716601e-04    1.697976e-07    5.225839e-07    3.285392e-06    3.726955e-06    1.151007e-06    2.912696e-12    1.077576e-07    6.221275e-16    9.991862e-01    
2.351674e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.044128e-07    1.063978e-11    1.043809e-10    3.691149e-06    5.798937e-06    2.087617e-09    6.504894e-09    4.089511e-08    4.639149e-08    8.264933e-09    3.625596e-14    1.341319e-09    6.116079e-18    9.999900e-01    3.291311e-05    8.659175e-10    8.495029e-09    3.004039e-04    4.719460e-04    1.699006e-07    5.229007e-07    3.287383e-06    3.729214e-06    6.643827e-07    2.914462e-12    1.078229e-07    4.916455e-16    9.991862e-01    
2.549657e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.045633e-07    1.064374e-11    1.044197e-10    3.692523e-06    5.801094e-06    2.088394e-09    6.507315e-09    4.091033e-08    4.640876e-08    4.546804e-09    3.626945e-14    1.341818e-09    4.724886e-18    9.999900e-01    3.292535e-05    8.662397e-10    8.498191e-09    3.005157e-04    4.721216e-04    1.699638e-07    5.230952e-07    3.288607e-06    3.730602e-06    3.654982e-07    2.915547e-12    1.078631e-07    3.798135e-16    9.991862e-01    
